0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML *
Autauga,Alabama,"32,525","55,246",00-00-00-0-000-000-000-0,10-01-01-0-000-001-000-0,http://www.autaugaco.org,Prattville,1818,604,91
Baldwin,Alabama,"146,556","195,540",00-00-00-0-000-000.000,10-01-01-0-000-001.000,http://baldwincountyal.gov,Bay Minette,1809,"2,027",96
Bibb,Alabama,"24,839","27,076",00-00-00-0-000-000-0000,10-01-01-0-000-001-0000,http://www.bibbal.com/,Centreville,1818,626,36
Barbour,Alabama,"24,839","22,512",00-00-00-0-000-000-000-0,10-01-01-0-000-001-000-0,n/a,Clayton,1832,905,30
Blount,Alabama,"43,230","57,872",00-00-00-0-000-000.000,10-01-01-0-000-001.000,http://www.co.blount.al.us,Oneonta,1818,651,89
Bullock,Alabama,"10,523","10,639",00-00-00-0-000-000.000,10-01-01-0-000-001.000,n/a,Union Springs,1866,625,17
Butler,Alabama,"21,011","20,265",0000000000000000,1002040000001000,http://butlercountyal.com/,Greenville,1819,778,26
Calhoun,Alabama,"72,734","116,736",00-00-00-0-000-000.000,10-02-04-0-000-001.000,http://www.calhouncounty.org,Anniston,1832,612,191
Chambers,Alabama,"26,381","34,162",00-00-00-0-000-000.000,10-01-01-0-001-001.000,http://www.chamberscountyal.gov/,LaFayette,1832,603,57
Cherokee,Alabama,"37,393","26,203",00-00-00-0-000-000.000,10-01-01-0-000-001.000,n/a,Centre,1832,600,44
Chilton,Alabama,"31,517","43,951",0000000000000000,1000930000018020,http://www.chiltoncounty.org/,Clanton,1868,701,63
Choctaw,Alabama,"23,498","13,426",0000000000000000,1001010000002000,n/a,Butler,1847,921,15
Clarke,Alabama,"31,404","25,207",0000000000000000,1001010000001000,http://www.clarkecountyal.com,Grove Hill,1812,1253,20
Clay,Alabama,"16,920","13,486",00-00-00-0-000-000.000,10-01-01-0-000-001.000,http://claycountycommission.org,Ashland,1866,606,22
Cleburne,Alabama,"16,231","14,994",00-00-00-0-000-000.000,10-01-01-0-000-001.000,http://www.cleburnecounty.us,Heflin,1866,561,27
Coffee,Alabama,"35,639","50,938",00-00-00-0-000-000.000,10-01-01-0-000-001.000,http://www.coffeecounty.us,Elba,1841,680,75
