0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adams,Colorado,"159,506","469,193",000000000000,156903109008,http://www.adcogov.org/,Brighton,1901,1184,396
Alamosa,Colorado,"14,253","16,253",000000000000,156910110019,http://www.alamosacounty.org/,Alamosa,1913,723,22
Arapahoe,Colorado,"214,375","607,070",0000-00-0-00-000,1971-28-2-01-006,http://www.co.arapahoe.co.us/,Littleton,1861,805,754
Archuleta,Colorado,"17,876","12,194",000000000000,197310108018,http://www.archuletacounty.org,Pagosa Springs,1885,"1,356",9
Baca,Colorado,n/a,"3,682",No records found.,No records found.,http://bacacountyco.gov/,Springfield,1889,2557,1
Bent,Colorado,n/a,"5,688",000-00000,140-00005,http://www.bentcounty.net/,Las Animas,1870,"1,541",4
Boulder,Colorado,"123,212","310,048",0000000 00 000,1201000 00 056,http://www.co.boulder.co.us/,Boulder,1861,740,419
Broomfield,Colorado,"23,880","59,471",0000000,1017279,http://www.ci.broomfield.co.us,Broomfield,2001,34,1770
Chaffee,Colorado,"15,589","18,510",No records found,No records found,http://www.chaffeecounty.org,Salida,1861,"1,015",18
Cheyenne,Colorado,"4,740","1,890",0000-00-0-00-000,1351-21-1-00-006,http://www.co.cheyenne.co.us/,Cheyenne Wells,1889,"1,781",1
Clear Creek,Colorado,"24,949","9,031",0000-00-0-00-000,1707-33-3-00-900,http://www.co.clear-creek.co.us/,Georgetown,1861,396,23
Conejos,Colorado,"8,681","8,277",00000000000,19954002222,http://www.conejoscounty.org/,Conejos,1861,"1,291",6
Costilla,Colorado,"64,559","3,518",00000000,10000000,http://www.costillacounty-co.gov/,,1861,"1,230",
Crowley,Colorado,n/a,"5,322",000-00000,101-00002,http://www.crowleycounty.net/,Ordway,1911,,7
Custer,Colorado,"9,591","4,285",No records found,No records found,http://www.custercountygov.com/,Westcliffe,1877,740,6
Delta,Colorado,"18,591","30,483",000000000000,133015341542,http://www.deltacounty.com/,Delta,1883,"1,149",27
"Denver, City and of",Colorado,"227,411","649,495",000-00-000,102-00-140,http://www.denvergov.org/,Denver,1901,155,4200
Dolores,Colorado,n/a,"2,029",00000000000000,17505930200021,http://www.dolorescounty.org/,Dove Creek,1881,"1,068",2
Douglas,Colorado,"131,042","305,963",0000000,1180759,http://www.douglas.co.us/,Castle Rock,1861,843,363
Eagle,Colorado,"23,458","52,460",000000000000,157724045002,http://www.eaglecounty.us/,Eagle,1883,"1,692",31
Elbert,Colorado,"13,856","23,733",000000000000,105702300075,http://www.elbertcounty-co.gov/,Kiowa,1874,"1,851",13
El Paso,Colorado,"221,023","655,044",00000–0-0-0,11000–0-0-0,http://www.elpasoco.com/,Colorado Springs,1861,"2,130",308
Fremont,Colorado,"28,615","46,451",00000000,10115084,http://www.fremontco.com/,Canon City,1861,"1,534",30
Garfield,Colorado,"27,553","57,302",00000000000,19874094507,http://www.garfield-county.com/,Glenwood Springs,1883,"2,956",19
Gilpin,Colorado,"9,224","5,601",000000000000,158133203031,http://www.co.gilpin.co.us/,Central City,1861,150,37
Grand,Colorado,"33,058","14,289",0000000,1045970,http://co.grand.co.us/,Hot Sulphur Springs,1874,"1,870",8
Gunnison,Colorado,"20,303","15,507",No record found,No record found,http://www.gunnisoncounty.org/,Gunnison,1877,"3,260",5
Hinsdale,Colorado,n/a,813,M000000,M000003,http://www.hinsdalecountycolorado.us/,Lake City,1874,"1,123",1
Huerfano,Colorado,n/a,"6,519",00000,10000,http://www.huerfano.us/,Walsenburg,1861,"1,593",4
Jackson,Colorado,"38,427","1,365",0000000000,1000120200,http://jacksoncountycogov.com/,Walden,1909,"1,621",1
Jefferson,Colorado,"248,269","551,798",000000,100000,http://www.co.jefferson.co.us/,Golden,1861,774,713
Kiowa,Colorado,"4,066","1,423",00-000-0000,11-111-0005,http://www.kiowacounty-colorado.com/,Eads,1889,"1,786",1
Kit Carson,Colorado,n/a,"8,037",00000000,10000001,http://www.kitcarsoncounty.org/,Burlington,1889,"2,162",4
Lake,Colorado,"10,031","7,306",00000000,10000001,http://www.lakecountyco.com/,Leadville,1861,384,19
La Plata,Colorado,"34,079","53,284",No record found,No record found,http://www.co.laplata.co.us/,Durango,1874,"1,700",31
Larimer,Colorado,"152,378","315,988",0000000000,1002000003,http://www.co.larimer.co.us/,Fort Collins,1861,"2,634",120
n/a,Colorado,n/a,"14,446",00000000,10009500,http://www.lasanimascounty.net/,Trinidad,1866,"4,775",3
Lincoln,Colorado,"8,682","5,430",No record found,No record found,http://www.lincolncountyco.us/,Hugo,1889,"2,586",2
Logan,Colorado,"11,994","22,450",00000000,10000000,http://www.loganco.gov/,Sterling,1887,"1,845",12
Mesa,Colorado,"73,801","147,554",0000-000-00-000,1697-162-55-018,http://www.mesacounty.us/,Grand Junction,1883,"3,341",44
Mineral,Colorado,"3,883",721,No record found,No record found,http://mineralcountycolorado.com/index.html,Creede,1893,878,1
