0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Alachua,Florida,"111,708","253,451",00000-000-000,10002-000-000,http://www.co.alachua.fl.us/,Gainesville,1824,969,262
Baker,Florida,"12,738","27,013",00-0N-00-0000-0000-0000,10-1N-19-0000-0000-0010,http://www.bakercountyfl.org/,Macclenny,1861,589,46
Bay,Florida,"117,858","174,987",00000-000-000,10000-000-000,http://www.co.bay.fl.us/,Panama City,1913,"1,033",169
Bradford,Florida,"15,100","26,850",00000-0-00000,10110-0-00000,http://www.bradford-co-fla.org/,Starke,1858,300,89
Brevard,Florida,"326,785","550,823",00-0 – 0-00-00 00.0-0 .,10-0 – 7-00-07 25.0-8 .,http://www.brevardcounty.us/,Titusville,1844,"1,557",354
Broward,Florida,"776,068","1,838,844",00000,37165,http://www.broward.org/,Fort Lauderdale,1915,"1,323",1390
Calhoun,Florida,"11,343","14,682",00-0N-00-0000-0000-0000,10-1N-08-0000-0001-0000,http://www.calhouncountyfl.org/,Blountstown,1838,574,26
Charlotte,Florida,"214,473","164,736",0000000-00000 –,1044570-00008 –,http://www.charlottecountyfl.com/,Punta Gorda,1921,858,192
Citrus,Florida,"146,270","139,271",00E-00S-00-0000-00000,15E-17S-12-0000-22000,http://www.citruscountyfl.org/,Inverness,1887,773,180
Clay,Florida,"90,071","196,399",00-00-00-000000-000-00,10-04-23-000081-000-00,http://www.claycountygov.com/,Green Cove Springs,1858,644,305
Collier,Florida,"332,380","339,642",00000000000,10030040004,http://www.colliergov.net/,Naples,1923,"2,305",147
Columbia,Florida,"36,318","67,543",00-0N-00-00000-000,10-1N-16-01499-000,http://www.columbiacountyfla.com/,Lake City,1832,801,84
DeSoto,Florida,"19,992","34,517",00-00-00-0000-0000-0000,10-37-23-0000-0010-0000,http://desotobocc.com/,Arcadia,1887,639,54
Dixie,Florida,"16,211","15,940",00-00-00-0000-000-00000,10-08-10-0000-020-70000,http://dixie.fl.gov/,Cross City,1921,864,18
Duval,Florida,"362,522","885,855",000000-0000,100000-0000,http://www.coj.net,Jacksonville,1822,918,965
Escambia,Florida,"151,324","305,817",00-00-00-0000-000-000,10-00-00-0100-003-000,http://myescambia.com/,Pensacola,1822,875,350
Flagler,Florida,"78,969","99,956",00-00-000000-00000-0000,10-10-30-0000-01010-0000,http://www.flaglercounty.org,Bunnell,1917,571,175
Franklin,Florida,"18,484","11,598",00-00S-00W-0000-0010-0000,10-06S-03W-0000-0010-0000,http://www.franklincountyflorida.com,Apalachicola,1832,"1,026",11
Gadsden,Florida,"27,277","46,194",0-00-0N-0W-0000-0000B-0000,1-07-2N-3W-0710-0000B-0080,http://www.gadsdengov.net,Quincy,1823,529,87
Gilchrist,Florida,"14,964","16,931",00-00-00-0000-0000-0000,10-07-15-0000-0001-0000,http://gilchrist.fl.us/,Trenton,1925,355,48
