0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Appling,Georgia,"12,159","18,440",000A-000,125A-130,http://www.baxley.org,Baxley,"1,818",512,36
Atkinson,Georgia,"3,995","8,290",P000000000,P006012000,http://www.atkinson-ga.org,Pearson,1919,345,24
Bacon,Georgia,"6,243","11,216",A00-00A000,A01-00A012,NOT FOUND,Alma,1914,286,39
Baker,Georgia,"16,205","3,341",00000-00000-000-000,00020-00000-012-000,NOT FOUND,Newton,1825,349,10
Baldwin,Georgia,"21,314","46,039",000A-000,101A-001,http://www.baldwincountyga.com,Milledgeville,1803,267,172
Banks,Georgia,"9,612","18,415",B00-000,B01-056,http://www.co.banks.ga.us/,Homer,1858,234,79
Barrow,Georgia,"31,975","71,453",0000-000,1013-780,http://www.barrowga.org/,Winder,1914,163,439
Bartow,Georgia,"43,758","101,273",0000-0000-000,1601-3400-600,http://www.bartowga.org,Cartersville,1832,470,215
Ben Hill,Georgia,"10,339","17,515",00000,23015,http://www.benhillcounty.com/,Fitzgerald,1906,254,69
Berrien,Georgia,"11,308","19,048",000-0-000,100-1-000,http://www.berriencountygeorgia.com/,Nashville,1856,458,42
Bibb,Georgia,"16,512","154,721",0000-0000,1004-0098,http://www.co.bibb.ga.us,Macon,1822,255,606
Bleckley,Georgia,"6,839","12,771",000,100,http://www.bleckley.org,Cochran,1912,219,58
Brantley,Georgia,"12,786","18,292",000000,105009,http://www.brantleycounty.org,Nahunta,1920,447,41
Brooks,Georgia,"10,025","15,516",000-0000,102-0001,n/a,Quitman,1858,498,31
Bryan,Georgia,"17,378","33,157",0000000,1160020,http://www.bryancountyga.org,Pembroke,1793,454,73
Bulloch,Georgia,"30,374","71,214",000-000000-000,100-000001-000,http://www.bullochcounty.net/,Statesboro,1796,689,103
Burke,Georgia,"16,556","22,923",000-000,100-001,http://www.burkecounty-ga.gov,Waynesboro,1777,835,27
Butts,Georgia,"12,693","23,361",00000000000,10002003200,http://buttscountyga.com/,Jackson,1825,188,124
Calhoun,Georgia,"3,370","6,523",0000P-00000-000-000,0000P-00000-002-000,http://calhouncountyga.com,Morgan,1854,284,23
Camden,Georgia,"31,051","51,476",000A000000,100A000001,http://www.co.camden.ga.us,Woodbine,1777,782,66
Candler,Georgia,"6,709","10,937",000000,168009,n/a,Metter,1914,249,44
Carroll,Georgia,"54,206","112,355",000-0000,100-0001,http://carrollcountyga.com,Carrollton,1826,504,223
Catoosa,Georgia,"28,120","65,311",00000-000-000,10000-000-105,http://www.catoosa.com,Ringgold,1853,162,402
Charlton,Georgia,"7,366","13,255",0000-000,1270-001,http://www.charltoncountyga.us/,Folkston,1854,782,17
