0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adair,Iowa,"15,068","7,472",00-00-000-000,10-01-100-001,http://www.adaircountyiowa.org/,Greenfield,1851,570,13
Adams,Iowa,"10,128","3,894",No records found,No records found,http://www.adamscountyia.com,Corning,1851,426,9
Allamakee,Iowa,"13,691","14,169",00-00-000-000,10-01-100-002,http://www.co.allamakee.ia.us,Waukon,1847,659,22
Appanoose,Iowa,"21,721","12,692",000000000000000,100304000010000,http://www.appanoosecounty.net,Centerville,1843,516,25
Audubon,Iowa,"11,285","5,873",00000000,10001275,http://www.auduboncounty.com/,Audubon,1851,443,13
Benton,Iowa,"17,065","25,699",00000000,10000001,http://www.bentoncountyiowa.org/,Fowler,1837,718,36
Black Hawk,Iowa,"67,915","132,546",0000-00-000-000,1111-00-001-001,http://www.co.black-hawk.ia.us/,Waterloo,1843,573,231
Boone,Iowa,"24,447","26,364",No records found,No records found,http://www.boonecounty.iowa.gov,Boone,1846,574,46
Bremer,Iowa,"19,603","24,624",00-00-000-000,10-00-010-001,http://www.co.bremer.ia.us/,Waverly,1851,439,56
Buchanan,Iowa,"39,473","20,976",00.00.000.000,10.01.100.002,http://www.co.buchanan.ia.us/,Independence,1837,573,37
Buena Vista,Iowa,"19,711","20,567",00-00-000-000,10-00-855-001,http://www.co.buena-vista.ia.us,Storm Lake,1851,580,35
Butler,Iowa,"13,445","15,021",0000000000,1001100041,http://www.butlercoiowa.org/,Allison,1851,582,26
Calhoun,Iowa,"17,554","9,926",0000000000,1120401000,http://www.calhouncountyiowa.com,Rockwell City,1851,572,17
Carroll,Iowa,"20,250","20,598",00-00-000-000,10-01-100-001,http://www.co.carroll.ia.us,Carroll,1851,570,36
Cass,Iowa,"16,618","13,598",000000000000000,100002922001000,http://www.casscountyiowa.us/,Atlantic,1851,565,25
Cedar,Iowa,"19,418","18,393",No records found,No records found,http://www.cedarcounty.org,Tipton,1837,582,32
Cerro Gordo,Iowa,"33,100","43,575",00-00-000-00-000,10-01-100-00-100,http://www.co.cerro-gordo.ia.us,Mason City,1851,575,76
Cherokee,Iowa,"16,824","11,945",0-00-000-000,1-01-100-001,http://www.cherokeecountyiowa.com/,Cherokee,1851,577,21
Chickasaw,Iowa,"9,745","12,321",00-00-00-0-00-000,19-01-19-1-00-002,http://www.chickasawcoia.org,New Hampton,1851,506,24
Clarke,Iowa,"12,270","9,325",00000,10000,http://www.clarkecountyia.org,Osceola,1846,432,22
Clay,Iowa,"18,326","16,491",No records found,No records found,http://www.co.clay.ia.us,Spencer,1851,573,29
Clayton,Iowa,"32,245","17,773",0000000000,1205201001,http://www.claytoncountyiowa.net,Elkader,1837,793,22
Clinton,Iowa,"34,746","48,420",00-0000-0000,10-0002-0000,http://www.clintoncountyiowa.com/,Clinton,1837,730,68
Crawford,Iowa,"23,049","17,434",0000000000,1001100001,http://www.crawfordcounty.org/,Denison,1851,715,24
Dallas,Iowa,"43,333","74,641",00-00-000-000,10-00-023-600,http://www.co.dallas.ia.us/,Adel,1846,592,126
Davis,Iowa,"11,788","8,791",000000000,120799000,http://www.daviscountyiowa.org,Bloomfield,1843,505,17
Decatur,Iowa,"15,725","8,136",0000000000,1000000700,http://www.decaturcountyiowa.org/,Leon,1846,505,15
Delaware,Iowa,"15,367","17,534",000-00-00-000-00,100-09-00-003-00,http://www.delawarecountyia.com,Manchester,1837,579,30
Des Moines,Iowa,"29,673","40,480",00-00-000-000,10-01-100-002,http://www.dmcounty.com/,Burlington,1834,430,94
Dickinson,Iowa,"26,690","16,955",00-00-000-000,10-01-100-002,http://www.co.dickinson.ia.us/,Spirit Lake,1851,404,42
Dubuque,Iowa,"51,893","95,697",00-00-000-000,10-00-800-056,http://www.dubuquecounty.org,Dubuque,1834,617,155
Emmet,Iowa,"13,382","9,996",0000000000,1001100001,http://www.emmetcountyia.com,Estherville,1851,403,25
Fayette,Iowa,"16,585","20,502",00-00-000-000,10-01-100-001,http://www.fayettecountyiowa.org/,West Union,1837,731,28
Floyd,Iowa,"11,420","16,092",00-00-000-000-00,10-01-100-003-00,http://www.floydcoia.org,Charles City,1851,501,32
Franklin,Iowa,"17,371","10,548",0000000000,1001100001,http://co.franklin.ia.us,Hampton,1851,583,18
Fremont,Iowa,"24,666","7,080",0-000000-00000000,1-001000-01000000,http://www.co.fremont.ia.us,Sidney,1847,517,14
Greene,Iowa,"15,457","9,139",00-00-000-000,10-01-100-001,http://www.co.greene.ia.us/,Jefferson,1851,571,16
Grundy,Iowa,"9,909","12,314",No records found,No records found,http://www.grundycounty.org,Grundy Center,1851,502,25
Guthrie,Iowa,"19,146","10,687",0000000000,1111111111,http://www.guthriecounty.org,Guthrie Center,1851,593,18
Hamilton,Iowa,"18,951","15,312",000-000-00-0000-000,100-000-20-0420-000,http://www.hamiltoncounty.org/,Webster City,1856,578,27
Hancock,Iowa,"11,005","11,094",0000000000,1001101000,http://www.hancockcountyia.org,Garner,1851,573,19
Hardin,Iowa,"21,679","17,441",0000-00-000-000,8822-01-100-001,http://www.hardincountyil.org,Eldora,1851,570,31
Harrison,Iowa,"24,455","14,431",000000000000000,100000090140000,http://www.harrisoncountyia.org,Logan,1851,702,21
Henry,Iowa,"16,254","20,222",000000000000000,100050120000200,http://www.henrycountyiowa.us/,Mount Pleasant,1836,437,46
Howard,Iowa,"43,682","9,526",000-00-00-00-000-000,100-00-00-00-002-000,http://www.co.howard.ia.us/,Cresco,1851,474,20
Humboldt,Iowa,"17,592","9,688",No records found,No records found,http://www.humboldtcountyia.org,Dakota City,1851,436,22
Ida,Iowa,"11,612","7,141",00-00-0,10-00-4,http://www.idacounty.org/,Ida Grove,1851,432,17
Iowa,Iowa,"19,043","16,330",00-00-0000-0,10-01-0101-1,http://www.co.iowa.ia.us,Marengo,1843,587,28
Jackson,Iowa,"21,941","19,587",000000000000000,100172320003000,http://co.jackson.ia.us/,Maquoketa,1837,650,30
Jasper,Iowa,"29,881","36,641",00-00-000-000,10-01-100-001,http://www.co.jasper.ia.us,Newton,1846,733,50
Jefferson,Iowa,"18,133","16,810",00-00-000-000,10-00-000-001,http://www.jeffersoncountyiowa.com/,Fairfield,1839,437,38
Johnson,Iowa,"66,627","139,155",0000000000,1001101001,http://www.johnson-county.com,Iowa City,1837,623,223
Jones,Iowa,"22,822","20,611",00-00-000-000,10-01-100-001,http://jonescountyiowa.org/,Anamosa,1837,577,36
Keokuk,Iowa,"17,194","10,329",No records found,No records found,http://www.keokukcountyia.com,Sigourney,1837,580,18
Kossuth,Iowa,"26,284","15,321",00-00-000-000,10-01-100-001,http://www.co.kossuth.ia.us,Algona,1851,974,16
Lee,Iowa,"30,579","35,682",00-00-00-00-000-0000,11-07-17-08-200-0060,http://www.leecounty.org,Fort Madison and Keokuk,1836,539,66
Linn,Iowa,"112,549","216,111",00000-00000-00000,10011-01001-00000,http://www.linncounty.org/,Cedar Rapids,1839,752,298
Louisa,Iowa,"13,490","11,282",00-00-000-000,10-31-376-000,http://www.louisacountyiowa.org,Wapello,1836,418,27
Lucas,Iowa,"206,177","8,746",0000000000,1001100001,n/a,Chariton,1846,434,20
Lyon,Iowa,"10,871","11,712",000000000000000,100000100110000,http://www.lyoncountyiowa.com,Rock Rapids,1851,588,20
Madison,Iowa,"17,505","15,448",000-00-00-00000000,101-04-00-10000520,http://www.madisoncoia.us/,Winterset,1844,562,27
Mahaska,Iowa,"22,040","22,417",00-00-000-000,10-00-000-000,http://www.mahaskacounty.org,Glenwood,1843,573,39
Marion,Iowa,"25,589","33,252",0000000000,1000000000,http://co.marion.ia.us,Knoxville,1845,571,58
Marshall,Iowa,"27,251","40,994",00-00-000-000,10-31-426-006,http://www.co.marshall.ia.us/,Marshalltown,1846,573,72
Mills,Iowa,"17,255","14,896",000000000000000,100000000000000,http://www.millscoia.us,Glenwood,1851,441,34
Mitchell,Iowa,"11,633","10,709",00-00-000-000,10-00-851-001,http://www.mitchellcoia.us/,Osage,1851,470,23
Monona,Iowa,"20,659","9,121",00-0000-00-0-00-000,67-8242-02-3-25-001,http://www.mononacounty.org/,Onawa,1851,699,13
Monroe,Iowa,"16,866","8,012",000-000-00-0000000,100-423-00-5000000,http://www.monroecoia.us/,Albia,1843,434,18
Montgomery,Iowa,"14,285","10,424",000-00-00-000000-00,100-20-83-000090-00,http://www.montgomerycountyiowa.com,Red Oak,1851,425,25
Muscatine,Iowa,"24,900","42,836",0000000000,1001100001,http://www.co.muscatine.ia.us/,Muscatine,1836,449,95
O’Brien,Iowa,n/a,"14,044",0000000000,0008011100,http://www.obriencounty.com,Primghar,1851,573,25
Osceola,Iowa,"4,636","6,211",No records found,No records found,http://www.osceolacountyia.org/,Sibley,1851,399,16
Page,Iowa,"18,162","15,713",000000000000000,103230315000000,http://www.co.page.ia.us/,Clarinda,1847,535,29
Palo Alto,Iowa,"15,930","9,185",No records found,No records found,http://www.paloaltoiowa.com/,Emmetsburg,1851,569,16
Plymouth,Iowa,"209,784","24,957",00-00-00,10-00-01,http://www.co.plymouth.ia.us,Le Mars,1851,864,29
Pocahontas,Iowa,"18,841","7,154",0000000000,1001100001,http://www.pocahontas-county.com/,Pocahontas,1851,579,12
Polk,Iowa,"17,810","451,677",000-00000000000,100-00001000000,http://www.polkcountyiowa.gov/,Des Moines,1846,592,764
Pottawattamie,Iowa,"54,818","92,728",000000000000000000000,143065153012172000000,http://www.pottcounty.com/,Council Bluffs,1848,959,97
Poweshiek,Iowa,"20,343","18,601",000-0000000,100-0240500,http://poweshiekcounty.org/,Montezuma,1843,586,32
Ringgold,Iowa,"13,680","5,072",No records found,No records found,http://www.ringgoldcounty.us,Mount Ayr,1855,539,9
Sac,Iowa,"18,309","10,071",00-00000000,10-15100001,http://www.saccounty.org,Sac City,1851,578,17
Scott,Iowa,"73,126","170,385",000000000,143153001,http://www.scottcountyiowa.com,Davenport,1837,468,364
Shelby,Iowa,"17,254","11,961",No records found,No records found,http://www.shco.org,Harlan,1851,591,20
Sioux,Iowa,"30,05","34,547",00-00-000-000,10-01-101-002,http://www.siouxcounty.org/,Orange City,1851,769,45
Story,Iowa,"43,796","92,406",00-00-000-000,10-01-100-100,http://www.storycounty.com,Nevada,1846,574,161
Tama,Iowa,"22,542","17,576",00.00.000.000,10.01.100.001,http://www.tamacounty.org,Toledo,1843,722,24
Taylor,Iowa,"16,466","6,161",No records found,No records found,http://taylorcountyiowa.org/,Bedford,1847,535,12
Union,Iowa,"14,538","12,583",0000000000000,1001000000100,http://www.unioncountyiowa.org,Creston,1851,426,30
Van Buren,Iowa,"7,182","7,436",0000000000000,1000625351101,http://vanburencoia.org/,Keosauqua,1836,491,15
Wapello,Iowa,"30,277","35,391",000000000000000,120112008000000,http://www.wapellocounty.org,Ottumwa,1843,436,81
Warren,Iowa,"32,845","47,336",00000000000,11000010223,http://www.co.warren.ia.us,Indianola,1846,"1,846",83
Washington,Iowa,"21,602","22,015",00-00-000-000,10-01-100-001,http://co.washington.ia.us,Washington,1837,571,39
Wayne,Iowa,"13,842","6,402",00000E000000,10020E301001,http://www.waynecountyiowa.com,Corydon,1846,527,12
Webster,Iowa,"33,157","37,044",00-00-000-000,10-01-100-001,http://www.webstercountyia.org/,Fort Dodge,1853,718,52
Winnebago,Iowa,"12,312","10,554",0000000000,1001100001,http://www.winnebagocountyiowa.org,Forest City,1847,402,26
Winneshiek,Iowa,"21,036","20,994",000000000000,100110000600,http://www.winneshiekcounty.org/,Decorah,1847,690,30
Woodbury,Iowa,"61,105","102,130",000000,102645,http://www.woodburyiowa.com,Sioux City,1851,878,116
Worth,Iowa,"11,775","7,541",0000000000,1001100001,http://www.worthcounty.org,Northwood,1851,402,19
Wright,Iowa,"18,454","12,972",00-00-000-000,10-01-100-001,http://www.wrightcounty.org,Clarion,1851,582,22
