0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Ada,Idaho,"176,584","416,464",No Records Found,No Records Found,http://www.adaweb.net/,Boise,1864,"1,060",393
Adams,Idaho,"8,027","3,828",00N00E000000,13N01E030001,http://www.co.adams.id.us/,Council,1911,"1,370",3
Bannock,Idaho,"42,252","83,249",No Records Found,No Records Found,http://www.co.bannock.id.us/,Pocatello,1893,"1,147",73
Bear Lake,Idaho,"15,380","5,943",0.00,1.00,http://www.bearlakecounty.info/,Paris,1893,"1,049",6
Benewah,Idaho,"10,963","9,044",No Records Found,No Records Found,http://www.idaho.gov/aboutidaho/county/benewah,Saint Maries,1915,784,12
Bingham,Idaho,"34,086","45,290",No Records Found,No Records Found,http://www.co.bingham.id.us/,Blackfoot,1885,"2,120",21
Blaine,Idaho,"23,280","21,329",No Records Found,No Records Found,http://www.co.blaine.id.us/,Hailey,1895,"2,661",8
Boise,Idaho,"12,983","6,795",000000000000,100000264861,http://www.boisecounty.us/,Idaho City,1907,"1,907",4
Bonner,Idaho,"43,062","40,699",0,1,http://www.co.bonner.id.us/,Sandpoint,1907,"1,919",21
Bonneville,Idaho,"54,061","107,517",LR00N00E000000,LR01N37E025362,http://www.co.bonneville.id.us/,Idaho Falls,1911,"1,901",57
Boundary,Idaho,"19,395","10,853",No Records Found,No Records Found,http://boundarycountyid.org/,Bonners Ferry,1915,"1,278",8
Butte,Idaho,"5,336","2,642",No Records Found,No Records Found,n/a,Arco,1917,"2,234",1
Camas,Idaho,"4,425","1,042",00000 000 00 A,14004 013 01 A,n/a,Fairfield,1917,"1,079",1
Canyon,Idaho,"85,301","198,871",0000000000,1000000000,http://www.canyoncounty.org/,Caldwell,1892,604,330
Caribou,Idaho,"8,543","6,808",00S00E000000,10S39E010021,http://www.co.caribou.id.us/,Soda Springs,1919,"1,799",4
Cassia,Idaho,"9,000","23,331",No Records Found,No Records Found,http://www.cassiacounty.org/,Burley,1879,"2,580",9
Clark,Idaho,"3,271",867,No Records Found,No Records Found,http://www.clark-co.id.gov/,Dubois,1919,"1,765",0
Clearwater,Idaho,"10,980","8,577",No Records Found,No Records Found,http://www.clearwatercounty.org/,Orofino,1911,"2,488",3
Custer,Idaho,"13,755","4,249",No Records Found,No Records Found,http://www.co.custer.id.us/,Challis,1881,"4,937",1
Elmore,Idaho,"20,515","26,170",No Records Found,No Records Found,http://www.elmorecounty.org/,Mountain Home,1889,"3,101",8
Franklin,Idaho,"10,278","12,854",No Records Found,No Records Found,http://www.franklincountyidaho.org/,Preston,1913,668,19
Fremont,Idaho,"23,935","12,927",No Records Found,No Records Found,http://www.co.fremont.id.us/,Saint Anthony,1893,"1,896",7
Gem,Idaho,"10,815","16,686",RP00N00E000000,RP06N01E210600,http://www.co.gem.id.us/,Emmett,1915,566,30
Gooding,Idaho,"9,454","15,080",No Records Found,No Records Found,http://www.goodingcounty.org/,Gooding,1913,734,21
Idaho,Idaho,"33,725","16,116",000,119,http://www.idahocounty.org/,Grangeville,1864,"8,503",2
Jefferson,Idaho,"16,065","26,914",No Records Found,No Records Found,http://www.co.jefferson.id.us/,Rigby,1913,"1,106",24
Jerome,Idaho,"19,728","22,514",No Records Found,No Records Found,http://www.jeromecountyid.us/,Jerome,1919,602,37
Kootenai,Idaho,"80,683","144,265",0- – – –,1- – – –,http://www.kcgov.us/,Coeur d Alene,1864,"1,316",110
Latah,Idaho,"19,514","38,078",No Records Found,No Records Found,http://www.latah.id.us/,Moscow,1888,"1,077",35
Lemhi,Idaho,"16,829","7,712",No Records Found,No Records Found,http://www.lemhicountyidaho.org/,Salmon,1869,"4,569",2
Lewis,Idaho,"5,011","3,902",No Records Found,No Records Found,http://lewiscountyid.us/,Nezperce,1911,480,8
Lincoln,Idaho,"7,732","5,315",No Records Found,No Records Found,http://lincolncountyid.us/,Shoshone,1895,"1,206",4
Madison,Idaho,"13,238","37,450",0000000000A,1978013988A,http://www.co.madison.id.us/,Rexburg,1913,473,473
Minidoka,Idaho,"11,878","20,292",No Records Found,No Records Found,http://www.minidoka.id.us/,Rupert,1913,763,27
Nez Perce,Idaho,"24,841","39,915",No Records Found,No Records Found,http://www.co.nezperce.id.us/,Lewiston,1864,856,47
Oneida,Idaho,"10,221","4,275",No Records Found,No Records Found,http://www.co.oneida.id.us/,Malad City,1864,"1,202",4
Owyhee,Idaho,"9,594","11,472",00S00E000000,10S01E016000,http://www.owyheecounty.net/,Murphy,1863,"1,863",1
Payette,Idaho,"12,345","22,610",00000,10631,http://www.payettecounty.org/,Payette,1917,410,55
Power,Idaho,"7,877","7,719",No Records Found,No Records Found,http://www.co.power.id.us/,American Falls,1913,"1,443",5
Shoshone,Idaho,"15,590","12,690",0000000B000A,1360003B102A,http://www.shoshonecounty.org/,Wallace,1864,"2,635",5
Teton,Idaho,"14,791","10,275",No Records Found,No Records Found,http://www.tetoncountyidaho.gov/,Driggs,1915,451,23
Twin Falls,Idaho,"41,753","79,957",000000,111898,http://www.twinfallscounty.org/,Twin Falls,1907,"1,928",41
Valley,Idaho,"24,549","9,606",No Records Found,No Records Found,http://www.co.valley.id.us/,Cascade,1917,"3,733",3
Washington,Idaho,"10,821","9,944",No Records Found,No Records Found,http://www.co.washington.id.us/,Weiser,1879,"1,474",7
