0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adams,Illinois,"38,003","67,130",00-0-0000-000-00,10-0-0001-000-00,http://www.co.adams.il.us/,Quincy,1825,871,77
Alexander,Illinois,"24,322","7,629",00-00-00-000-000,10-02-01-102-001,n/a,Cairo,1819,253,30
Bond,Illinois,n/a,"17,470",No Records Found,No Records Found,http://www.bondcountyil.com/,Greenville,1817,383,46
Boone,Illinois,"24,222","53,957",00-00-000-000,10-27-100-006,http://www.boonecountyil.org/,Belvidere,1837,282,191
Brown,Illinois,"13,993","6,860",00-000-000-00,07-003-001-00,n/a,Mount Sterling,1839,307,22
Bureau,Illinois,n/a,"34,056",00-00-000-000,10-01-100-004,http://www.bureaucounty-il.gov/,Princeton,1837,874,39
Calhoun,Illinois,"17,554","5,059",No Records Found,No Records Found,n/a,Hardin,1825,284,18
Carroll,Illinois,"20,250","14,910",00-00-00-000-000,10-03-01-100-001,http://www.carroll-county.net/,Mount Carroll,1839,466,32
Cass,Illinois,"12,147","13,324",00-000-000-00,10-001-001-00,n/a,Virginia,1837,384,35
Champaign,Illinois,"73,479","204,897",00-00-00-000-000,10-02-01-100-001,http://www.co.champaign.il.us/,Urbana,1833,998,205
Christian,Illinois,"24,239","34,298",00-00-00-000-000-00,10-01-25-200-001-00,http://christiancountyil.com/,Taylorville,1839,716,48
Clark,Illinois,"14,097","16,182",00-00-00-00-000-000,10-18-01-00-100-001,http://www.clarkcountyil.org/,Marshall,1819,505,32
Clay,Illinois,"15,588","13,566",00-00-000-000,10-01-100-002,http://claycountyillinois.org/,Louisville,1824,470,29
Clinton,Illinois,"26,531","37,907",00-00-00-000-000,10-09-01-000-001,http://www.clintonco.illinois.gov/,Carlyle,1824,503,75
Coles,Illinois,"27,293","53,697",00-0-00000-000,10-0-00001-000,http://www.co.coles.il.us/,Charleston,1830,510,105
Cook,Illinois,"12,559","5,240,700",00-00-000-000-0000,10-07-100-006-0000,http://blog.cookcountygov.com/,Chicago,1831,"1,635",3206
Crawford,Illinois,"17,304","19,505",00-0-00-000-000-000,10-1-13-000-003-000,http://www.crawfordcountycentral.com/,Robinson,1816,446,44
Cumberland,Illinois,"11,854","10,939",00-00-000-000,10-06-100-002,http://www.cumberlandco.org/,Toledo,1843,347,32
DeKalb,Illinois,"7,010","104,741",0000000000,1001100001,http://www.dekalbcounty.org/,Sycamore,1837,635,165
De Witt,Illinois,"11,137","16,420",00-00-000-000,10-03-100-003,http://www.dewittcountyill.com/,Clinton,1839,405,41
Douglas,Illinois,"15,062","19,887",No Records Found,No Records Found,http://www.douglascountyil.com/,Tuscola,1859,417,48
DuPage,Illinois,n/a,"932,126",00-00-000-000,10-01-100-001,http://www.co.dupage.il.us/,Wheaton,1839,336,2771
Edgar,Illinois,"17,697","17,960",00-00-00-000-000,10-04-01-100-001,http://edgarcountyillinois.com/,Paris,1823,624,29
Edwards,Illinois,"4,560","6,672",No Records Found,No Records Found,n/a,Albion,1814,223,30
Effingham,Illinois,"29,275","34,307",0000000000,1015001002,http://www.co.effingham.il.us/,Effingham,1831,480,71
Fayette,Illinois,"21,285","22,060",00-00-00-000-000,10-04-21-400-004,http://www.fayettecountyillinois.org/,Vandalia,1821,725,30
Ford,Illinois,"10,471","13,832",00-00-00-000-000,10-09-19-100-002,http://www.fordcounty.illinois.gov/,Paxton,1859,486,28
Franklin,Illinois,"30,774","39,202",00-00-000-000,10-01-100-002,n/a,Benton,1818,431,91
Fulton,Illinois,n/a,"36,346",00-00-000-000-00,10-09-011-000-01,http://www.fultonco.org/,Lewistown,1823,883,41
Gallatin,Illinois,"48,071","5,415",00-000-000-00,10-001-001-01,n/a,Shawneetown,1812,328,17
Greene,Illinois,"38,686","13,629",00-00-0-0,10-40-1-1,http://www.greenecountyil.com/,Carrollton,1821,546,25
Grundy,Illinois,"27,032","50,228",00-00-000-000,10-01-100-001,http://www.grundyco.org/,Morris,1841,430,117
Hamilton,Illinois,"10,247","8,368",00-000-000-00,10-001-001-00,n/a,McLeansboro,1821,436,19
Hancock,Illinois,"16,158","18,618",00-00-000-000,10-01-000-002,https://www.hancockcounty-il.gov/,Carthage,1825,814,23
Hardin,Illinois,"24,647","4,181",00-00-000-00-000,10-38-001-01-000,http://www.hardincountyil.org/,Elizabethtown,1839,182,23
Henderson,Illinois,"7,709","6,990",00-000-000-00,10-001-001-00,n/a,Oquawka,1841,395,18
Henry,Illinois,"31,305","49,860",00-00-000-000,10-00-600-002,http://www.henrycty.com/,Cambridge,1825,826,60
Iroquois,Illinois,"27,462","28,982",00-00-000-000,10-01-100-002,http://www.co.iroquois.il.us/,Watseka,1833,"1,119",26
Jackson,Illinois,"34,000","59,814",00-00-000-000,10-01-100-002,http://www.co.jackson.il.us/,Murphysboro,1816,602,99
Jasper,Illinois,"9,992","9,592",No records found,No records found,http://www.jaspercountyillinois.org/,Newton,1831,498,19
Jefferson,Illinois,"30,300","38,644",00- – 0-0,10- – 0-3,http://www.jeffersoncountyillinois.com/,Mount Vernon,1819,584,66
Jersey,Illinois,"14,289","22,641",00-000-000-00,10-001-001-00,n/a,Jerseyville,1839,377,60
Jo Daviess,Illinois,n/a,"22,407",00-000-000-00,10-000-001-00,http://www.jodaviess.org/,Galena,1827,619,36
Johnson,Illinois,"62,764","12,677",00-00-000-000,10-00-000-005,n/a,Vienna,1812,"1,812",36
Kane,Illinois,"20,933","523,643",00-00-000-000,10-01-100-003,http://www.countyofkane.org/,Geneva,1836,524,999
Kankakee,Illinois,"54,889","112,120",00-00-00-000-000,10-09-15-403-017,http://www.co.kankakee.il.us/,Kankakee,1853,681,165
Kendall,Illinois,"24,252","119,348",00-00-000-000,10-01-253-035,http://www.co.kendall.il.us/,Yorkville,1841,322,370
Knox,Illinois,"33,311","52,078",00-00-000-000,10-01-100-001,http://www.co.knox.il.us/,Galesburg,1825,720,72
Lake,Illinois,"282,412","703,019",00-00-000-000-0000,10-01-100-002-0000,http://www.lakecountyil.gov/,Waukegan,1839,"1,368",514
LaSalle,Illinois,"70,254","112,183",00-00-000000,10-01-101000,http://www.lasallecounty.org,Ottawa,"1,831","1,148",98
Lawrence,Illinois,"15,852","16,558",No records found,No records found,http://www.lawrencecountyillinois.com,Lawrenceville,1821,374,44
Lee,Illinois,"28,809","34,858",00-00-00-000-000,10-13-01-100-001,http://www.leecountyil.com/,Dixon,1839,729,48
Livingston,Illinois,"71,914","38,186",00-00-00-000-000,10-10-01-100-001,http://www.livingstoncounty-il.org,Pontiac,1837,"1,046",37
Logan,Illinois,"18,424","29,964",00-000-000-00,10-001-001-00,http://www.co.logan.il.us,Lincoln,1839,619,48
McDonough,Illinois,"17,939","32,464",00-000-000-00,10-000-001-00,http://www.outfitters.com/illinois/mcdonough/,Macomb,1826,590,55
McHenry,Illinois,"149,116","307,409",00-00-000-000,10-05-101-002,http://www.co.mchenry.il.us,Woodstock,1836,611,503
McLean,Illinois,"69,382","174,647",00-00-000-000,10-01-100-001,http://www.mcleancountyil.gov/,Bloomington,1830,"1,186",147
Macon,Illinois,"56,975","109,278",00-00-00-000-000,10-02-01-100-002,http://www.maconcounty-il.gov,Decatur,1829,586,187
Macoupin,Illinois,"38,049","46,880",00-000-000-00,10-000-001-00,http://www.macoupincountyil.gov/,Carlinville,1829,868,54
Madison,Illinois,"135,422","267,225",00-0-00-00-00-000-000,10-1-16-01-00-000-001,http://www.co.madison.il.us,Edwardsville,1812,741,361
Marion,Illinois,"28,457","38,622",0000000000,1001100002,n/a,Salem,1823,576,67
Marshall,Illinois,"14,758","12,153",00-00-000-000,10-06-100-001,http://www.marshallcountyillinois.com/home/,Lacon,1839,399,31
Mason,Illinois,"16,603","14,248",00-00-000-000,10-01-100-012,http://www.masoncountyil.org,Havana,1841,563,25
Massac,Illinois,"11,135","15,073",00-00-000-000,10-01-100-012,n/a,Metropolis,1843,242,62
Menard,Illinois,"11,886","12,607",00-00-000-000,10-01-100-001,http://www.menardcountyil.com,Petersburg,1839,315,40
Mercer,Illinois,"139,847","16,178",00-00-00-000-000,10-10-01-100-001,http://www.mercercountyil.org/,Aledo,1825,569,28
