0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adams,Indiana,"20,080","34,614",00-00-00-000-000.000-000,01-01-21-100-009.600-012,http://www.co.adams.in.us,Decatur,"1,835",340,102
Allen,Indiana,"154,596","363,014",00-0000-0000,11-0001-0037,http://www.allencounty.us/,Fort Wayne,"1,823",660,550
Bartholomew,Indiana,"37,642","79,587",00-00-00-000-000.000-000,03-05-03-210-000.100-010,http://www.bartholomew.in.gov/,Columbus,"1,821",410,194
Benton,Indiana,"8,032","8,767",No records found,No records found,http://www.bentoncounty.in.gov/,Fowler,"1,840",407,22
Blackford,Indiana,"9,117","12,481",No records found,No records found,http://gov.blackfordcounty.org/,Hartford City,"1,838",166,75
Boone,Indiana,"34,718","60,477",No records found,No records found,http://www.boonecounty.in.gov/,Lebanon,"1,830",423,143
Brown,Indiana,"13,993","15,023",00-00-00-000-000.000-000,07-06-15-300-111.004-004,http://www.browncounty-in.gov/,Nashville,"1,836",317,47
Carroll,Indiana,"21,005","20,086",No records found,No records found,http://www.carrollcountygovernment.org/,Delphi,"1,828",375,54
Cass,Indiana,"25,478","38,463",0000000000,1007003009,http://www.co.cass.in.us/,Logansport,"1,828",415,93
Clark,Indiana,"58,116","112,938",00-00-00-000-000.000-000,10-00-00-000-000.000-030,http://www.co.clark.in.us/,Jeffersonville,"1,801",376,300
Clay,Indiana,"23,093","26,803",00-00-00-000-000.000-000,11-01-01-100-001.000-016,http://www.claycountyin.gov/,Brazil,"1,825",360,74
Clinton,Indiana,"25,152","32,916",00-00-00-000-000.000-000,12-00-10-101-402.000-001,http://www.clintonco.com/,Frankfort,"1,830",405,81
Crawford,Indiana,"12,800","10,621",000000000000000000,130131101001000009,n/a,English,"1,818",309,34
Daviess,Indiana,"20,975","32,407",0000000000,1130008100,http://www.daviess.org/,Washington,"1,816",437,74
Dearborn,Indiana,"31,365","49,904",00-00-00-000-000.000-000,15-01-01-100-002.001-006,http://www.dearborncounty.org,Lawrenceburg,"1,803",307,162
Decatur,Indiana,"17,580","26,277",00-00-00-000-000.,16-00-19-000-101.,http://www.decaturcounty.in.gov,Greensburg,"1,821",373,70
DeKalb,Indiana,"31,333","42,307",00-00-00-000-000.000-000,17-01-01-100-001.000-004,http://www.co.dekalb.in.us,Auburn,"1,835",364,116
Delaware,Indiana,"59,969","117,484",00-00-00-000-000.000-000,18-01-12-100-001.000-024,http://www.co.delaware.in.us,Muncie,"1,827",396,297
Dubois,Indiana,"35,270","42,361",00-00-00-000-000.000-000,17-06-02-400-015.000-014,http://www.duboiscountyin.org,Jasper,"1,817",435,97
Elkhart,Indiana,"89,550","200,563",00-00-00-000-000.0,10-14-40-003-701.6,http://www.elkhartcountyindiana.com,Goshen,"1,830",468,429
Fayette,Indiana,"14,398","23,861",No records found,No records found,http://www.co.fayette.in.us,Connersville,"1,818",215,111
Floyd,Indiana,"43,959","76,244",00-00-00-000-000.000-000,10-26-08-700-013.000-040,http://www.floydcounty.in.gov/,New Albany,"1,819",149,512
