0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Allen,Kansas,"10,703","13,124",000-00-0-00-00-000.00-0,102-03-0-00-00-001.00-0,http://www.allencounty.org/,Iola,1855,505,26
Anderson,Kansas,"7,153","7,897",000-00-0-00-00-000.00-0,102-03-0-00-00-001.00-0,http://andersoncountyks.org,Garnett,1855,584,14
Atchison,Kansas,"9,623","16,749",000-00-0-00-00-000.00-0,103-06-0-10-01-001.00-0,http://www.atchisoncountyks.org,Atchison,1855,434,39
Barber,Kansas,"6,778","4,947",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Medicine Lodge,1873,"1,136",4
Barton,Kansas,"18,011","27,509",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.bartoncounty.org,Great Bend,1872,901,31
Bourbon,Kansas,"12,225","14,852",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.bourboncountyks.org,Fort Scott,1855,639,23
Brown,Kansas,"8,564","9,997",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.brown.kansasgov.com,Hiawatha,1855,572,17
Butler,Kansas,"32,832","65,803",000-00-0-00-00-000-00-0,101-01-0-00-00-001-00-0,http://www.bucoks.com/,El Dorado,1855,"1,447",45
Chase,Kansas,"4,163","2,700",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Cottonwood Falls,1859,778,3
Chautauqua,Kansas,"5,322","3,552",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.chautauquacountyks.com,Sedan,1875,645,6
Cherokee,Kansas,"15,680","20,978",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Columbus,1866,591,35
Cheyenne,Kansas,"4,740","2,694",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.cncoks.us/,Saint Francis,1886,"1,021",3
Clark,Kansas,"3,824","2,193",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.clarkcountyks.com/,Ashland,1885,977,2
Clay,Kansas,"7,546","8,406",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.claycountykansas.org/,Clay Center,1866,656,13
Cloud,Kansas,"9,326","9,292",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-5,http://www.cloudcountyks.org,Concordia,1866,718,13
Coffey,Kansas,"8,237","8,412",000-00-0-00-00-000.00-0,102-03-0-00-00-001.00-0,http://www.coffeycountyks.org/,Burlington,1859,654,13
Comanche,Kansas,"3,378","1,955",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Coldwater,1885,790,2
Cowley,Kansas,"20,497","36,204",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.cowleycounty.org/,Winfield,1870,"1,132",32
Crawford,Kansas,"23,842","39,278",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.crawfordcountykansas.org/,Girard,1867,595,66
Decatur,Kansas,"5,082","2,930",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Oberlin,1880,894,3
Dickinson,Kansas,"29,686","19,609",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.dkcoks.org,Abilene,1857,852,23
Doniphan,Kansas,"7,700","7,851",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.dpcountyks.com/,Troy,1855,398,20
Douglas,Kansas,"40,306","114,322",000-000-00-0-00-00-000.00-0,023-124-17-0-00-00-001.00-0,http://www.douglas-county.com/,Lawrence,1855,475,241
Edwards,Kansas,"4,560","2,945",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.edwardscounty.org/,Kinsley,1874,622,5
Elk,Kansas,"4,296","2,655",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://elkcountyks.org/,Howard,1875,650,4
Ellis,Kansas,"15,452","29,061",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.ellisco.net,Hays,"1,867",900,32
Ellsworth,Kansas,"7,090","6,398",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.ellsworthcounty.org,Ellsworth,1867,723,9
Finney,Kansas,"15,194","37,098",000-00-0-00-00-000-00-0,101-01-0-00-00-001-00-0,http://www.finneycounty.org/,Garden City,1884,"1,303",28
Ford,Kansas,"16,145","34,819",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.fordcounty.net/,Dodge City,1873,"1,099",32
Franklin,Kansas,"14,848","25,740",000-00-0-00-00-000.00-0,102-03-0-00-00-001.00-0,http://www.franklincoks.org,Ottawa,1857,577,45
Geary,Kansas,"13,775","37,384",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.geary.kansasgov.com,Junction City,1855,404,92
Gove,Kansas,n/a,"2,769",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Gove,1886,"1,072",3
Graham,Kansas,"17,651","2,593",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.grahamcountyks.com/Home.php,Hill City,1880,899,3
Grant,Kansas,"5,661","7,950",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.grantcoks.org/,Ulysses,1888,575,14
Gray,Kansas,"6,372","6,009",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.grayco.org/,Cimarron,1887,869,7
Greeley,Kansas,"3,392","1,290",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.greeleycounty.org,Tribune,1888,778,2
Greenwood,Kansas,"9,367","6,424",000-00-0-00-00-000.00-0,102-03-0-00-00-001.00-0,http://www.greenwoodcounty.org,Eureka,1862,"1,153",6
Hamilton,Kansas,"6,956","2,609",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.hamiltoncountyks.com/,Syracuse,1886,998,3
Harper,Kansas,"6,956","5,860",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://harpercountyks.gov,Anthony,1873,803,7
Harvey,Kansas,"18,728","34,741",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.harveycounty.com/,Newton,1872,541,64
Haskell,Kansas,"12,296","4,141",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.haskellcounty.org,Sublette,1887,578,7
Hodgeman,Kansas,"3,572","1,950",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.hodgemancountyks.com/,Jetmore,1879,860,2
Jackson,Kansas,"9,619","13,366",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.jacksoncountyks.com/,Holton,1857,658,20
Jefferson,Kansas,"15,080","18,813",000-00-0-00-00-000-00-0,102-04-0-00-00-001-00-0,http://www.jfcountyks.com/,Oskaloosa,1855,557,34
Jewell,Kansas,"6,886","3,046",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Mankato,1870,914,3
Johnson,Kansas,"240,052","566,933",0F000000-0000,1F241421-1001,http://www.jocogov.org,Olathe,1855,480,1181
Kearny,Kansas,"4,169","3,923",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.kearnycountykansas.com,Lakin,1888,871,5
Kingman,Kansas,"7,798","7,844",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.kingmancoks.com/,Kingman,1873,867,9
Kiowa,Kansas,"4,066","2,523",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.kiowacountyks.org/,Greensburg,1886,723,3
Labette,Kansas,"15,730","20,916",000-00-0-00-00-000.00-0,101-02-0-00-00-001.00-0,http://www.labettecounty.com,Oswego,1867,653,32
Lane,Kansas,"3,682","1,720",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Dighton,1886,718,2
Leavenworth,Kansas,"30,787","78,185",000-00-0-00-00-000.00-0,101-01-0-10-01-001.00-0,http://www.leavenworthcounty.org/,Leavenworth,1855,469,167
Lincoln,Kansas,"5,380","3,147",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.lincolncoks.com/,Lincoln,1870,720,4
Linn,Kansas,"19,135","9,516",000-00-0-00-00-000.00-0,101-02-0-00-00-001.00-0,http://www.linncountyks.com/,Mound City,1855,606,16
Logan,Kansas,"4,446","2,798",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,n/a,Oakley,1888,"1,073",3
Lyon,Kansas,"17,097","33,510",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.lyoncounty.org/,Emporia,1858,855,39
McPherson,Kansas,"17,577","29,569",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.mcphersoncountyks.us,McPherson,1870,901,33
Marion,Kansas,"12,226","12,219",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.marioncoks.net,Marion,1865,954,13
Marshall,Kansas,"9,805","10,002",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.marshall.kansasgov.com,Marysville,1855,905,11
Meade,Kansas,"5,332","4,343",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.meadeco.org/,Meade,1885,979,4
Miami,Kansas,"17,980","32,835",000-00-0-00-00-000.000,101-02-0-00-00-001.000,http://www.miamicountyks.org,Paola,1856,590,56
Mitchell,Kansas,"7,440","6,378",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.mcks.org/,Beloit,1870,719,9
Montgomery,Kansas,"23,367","34,292",000-00-0-00-00-000.00-0,102-03-0-00-00-001.00-0,http://www.mgcountyks.org,Independence,1869,651,53
Morris,Kansas,n/a,"5,741",000-00-0-00-00-000.00-0,102-03-0-00-00-001.00-0,http://www.morriscountyks.org/,Council Grove,1858,703,8
Morton,Kansas,"5,093","3,143",000-00-0-00-00-000.00-A,102-04-0-00-00-001.00-A,http://www.mtcoks.com,Elkhart,1886,730,4
Nemaha,Kansas,"8,640","10,161",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.nemaha.kansasgov.com,Seneca,1855,719,14
Neosho,Kansas,"12,031","16,430",000-00-0-00-00-000.00-0,102-03-0-00-00-001.00-0,http://www.neoshocountyks.org/,Erie,1864,578,28
Ness,Kansas,"6,026","3,073",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.nesscountyks.com/,Ness City,1880,"1,075",3
Norton,Kansas,"6,329","5,622",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.nortoncounty.net/,Norton,1872,881,6
Osage,Kansas,"12,366","16,142",No records found,No records found,http://www.osage.kansasgov.com,Lyndon,1859,720,22
Osborne,Kansas,"6,560","3,818",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.osbornecounty.org,Osborne,1871,894,4
Ottawa,Kansas,"6,636","6,042",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.ottawacounty.org,Minneapolis,1866,721,8
Ottawa,Kansas,"6,470","6,971",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.ottawacounty.org,Minneapolis,1866,721,8
Phillips,Kansas,"7,276","5,540",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.phillipscounty.org,Phillipsburg,1872,895,6
Pottawatomie,Kansas,"16,052","22,691",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.pottcounty.org/,Westmoreland,"1,856",862,26
Pratt,Kansas,"8,117","9,878",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.prattcounty.org,Pratt,1879,736,13
Rawlins,Kansas,"5,102","2,589",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.rawlinscounty.info,Atwood,1881,"1,070",2
Reno,Kansas,"35,332","64,190",000-00-0-00-00-000-00-0,101-01-0-00-00-001-00-0,http://www.renogov.org,Hutchinson,1872,"1,272",50
Republic,Kansas,"7,119","4,820",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.republiccounty.org/,Belleville,1868,720,7
Rice,Kansas,"9,547","10,011",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.ricecounty.us/,Lyons,1871,728,14
Riley,Kansas,"24,788","75,394",000-00-0-00-00-000.00-0,103-07-0-00-00-001.00-0,http://www.rileycountyks.gov,Manhattan,1855,622,121
Rooks,Kansas,"6,725","5,190",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.rookscounty.net,Stockton,1872,895,6
Rush,Kansas,"5,315","3,186",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.rushcounty.org,La Crosse,1874,718,4
Russell,Kansas,"8,286","6,933",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://ks-russellco.manatron.com/,Russell,1872,899,8
Saline,Kansas,"26,001","55,740",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.saline.org,Salina,1859,721,77
Scott,Kansas,"4,991","5,035",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.scott.kansasgov.com,Scott City,1886,718,7
Sedgwick,Kansas,"220,111","505,415",000-00-0-00-00-00.,100-12-0-20-01-01.,http://sedgwickcounty.org/,Wichita,1870,"1,009",501
Seward,Kansas,"10,130","23,390",000-00-0-00-00-000.00-0,101-01-0-00-00-001.00-0,http://www.sewardcountyks.org,Liberal,1886,640,37
