0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adair,Kentucky,"13,990","18,732",000-00 00-000.00,100-00 00-001.00,http://www.myadaircounty.com/,Columbia,1802,412,45
Allen,Kentucky,"14,133","20,311",0-0,1-1,http://www.allencountykentucky.com,Scottsville,1815,352,58
Anderson,Kentucky,"12,454","21,811",0-0,1-1,http://andersoncounty.ky.gov/,Lawrenceburg,1827,204,107
Ballard,Kentucky,"7,173","8,332",0,1,http://www.ballardcounty.ky.gov/,Wickliffe,1842,274,30
Barren,Kentucky,"23,737","43,027",00-0,10-1,http://www.barrenco-ky.com/,Glasgow,1799,500,86
Bath,Kentucky,"7,165","11,961",000-00-00-000.00,004-00-00-016.00,n/a,Owingsville,1811,284,42
Bell,Kentucky,"141,333","27,885",000-00-00-000.00,100-00-00-001.00,http://www.bellcounty.ky.gov/ *Website Connection: Close,Pineville,1867,361,77
Boone,Kentucky,"49,656","124,442",0-00F,1-15F,http://boonecountyar.com,Harrison,1869,602,62
Bourbon,Kentucky,"9,254","19,998",000-00-00-000.00,010-00-00-009.00,http://www.bourbonky.com/,Paris,1786,292,69
Boyd,Kentucky,"27,863","48,886",000-00-00-000.00,000-00-00-044.00,http://www.boydcountyky.gov,Catlettsburg,1860,162,302
Boyle,Kentucky,"13,003","29,013",00A-000-000,14A-000-001,http://www.boyleky.com/,Danville,1842,183,159
Bracken,Kentucky,"5,829","8,416",0000-DIV-00,1019-DIV-01,http://www.brackencounty.ky.gov/,Brooksville,1797,209,40
Breathitt,Kentucky,n/a,"13,545",000-00-00-000.00,100-00-00-001.00,http://www.breathittcounty.org/,Jackson,1839,495,27
Breckinridge,Kentucky,"20,734","20,040",00000,42745,http://www.breckinridgecountyky.com,Hardinsburg,1800,586,34
Bullitt,Kentucky,"34,265","76,854",000-000-00-0,100-439-50-7,http://bullittcountyfc.com/,Shepherdsville,1797,300,256
Butler,Kentucky,"8,706","12,793",00000,10000,http://www.butlercounty.ky.gov/,Morgantown,1810,431,30
Caldwell,Kentucky,"9,377","12,823",0-0 & 0-0,1-1 & 1-2,http://www.caldwellcounty.ky.gov/,Princeton,1809,348,37
Calloway,Kentucky,"39,280","37,657",000-0-0000,100-0-0001,http://www.callowaycounty-ky.gov/,Murray,1821,411,92
Campbell,Kentucky,"35,496","90,988",000-00-00-000.00,999-99-00-397.00,http://www.campbellcountyky.org,Newport,1795,159,571
Carlisle,Kentucky,n/a,"5,001",000,101,http://carlislecounty.ky.gov/,Bardwell,1886,199,25
Carroll,Kentucky,"70,288","10,953",00000,43009,http://www.carrollcountygov.us,Carrollton,1838,137,80
Carter,Kentucky,"16,496","27,202",000-00-00-000.00,100-00-00-001.00,http://www.cartercounty.ky.gov/,Grayson,1838,412,66
Casey,Kentucky,"11,802","16,067",000-00,100-01,http://www.caseycounty.ky.gov/ *Website Error,Liberty,1807,446,36
Christian,Kentucky,"28,776","74,167",000-00-00-000.00,100-00-00-001.00,http://www.christiancountyky.gov,Hopkinsville,1797,724,102
Clark,Kentucky,"16,788","35,614",000-0000-00000,100-0000-00100,http://www.clarkcoky.com/,Winchester,1793,255,140
Clay,Kentucky,"29,815","21,364",000-00-00-000.00,100-00-00-002.00,http://www.claycountykentucky.org/,Manchester,1807,471,45
Clinton,Kentucky,"13,009","10,146",000-00-00-000.00,101-01-00-001.00,http://www.clintoncounty.ky.gov/ *Webpage not available,Albany,1836,205,49
Crittenden,Kentucky,"8,952","9,255",000-00-00-000.00,100-00-00-001.01,n/a,Marion,1842,371,25
Cumberland,Kentucky,"138,474","6,789",000-00-00-000.00,016-00-00-022.00,n/a,Burkesville,1799,311,22
Daviess,Kentucky,"45,109","98,218",000-00-00-000-00-000,100-00-00-001-00-000,http://www.daviessky.org,Owensboro,1815,477,206
Edmonson,Kentucky,"12,574","12,062",000-00-00-000.00,101-00-02-002.01,n/a,Brownsville,1825,308,39
Elliott,Kentucky,n/a,"7,637",0000000-00,1282925-06,http://www.elliottcounty.ky.gov/,Sandy Hook,1869,235,32
