0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Acadia,Louisiana,"43,624",917,0000000000,1100003785,http://www.appj.org/ *Website Error,Crowley,1886,657,95
Allen,Louisiana,"52,752","25,537",000-0000000,111-0002315,n/a,Oberlin,1910,766,33
Ascension,Louisiana,"48,661","114,393",00000-000,10010-300,http://www.ascensionparish.net,Donaldsonville,1807,303,378
Assumption,Louisiana,"14,308","23,187",000000000,100000050,http://www.assumptionla.com/,Napoleonville,1807,365,64
Avoyelles,Louisiana,"36,025","41,299",000-00000000,101-10007300,n/a,Marksville,1807,866,48
Beauregard,Louisiana,"29,219","36,167",0000000000,1101065718,http://www.beauparish.org/,DeRidder,1912,"1,166",31
Bienville,Louisiana,"17,806","13,981",00-00000000,14-50014915,n/a,Arcadia,1848,822,17
Bossier,Louisiana,"73,180","123,823",000000,100003,http://www.bossierparishla.gov,Benton,1843,867,143
Caddo,Louisiana,"138,057","254,887",000000-000-0000-00,141502-000-0001-00,http://www.caddo.org,Shreveport,1838,937,272
Calcasieu,Louisiana,"159,474","195,296",000000-0000-0000000-0000-H,100907-0000-3400003-0000-H,http://www.cppj.net,Lake Charles,1840,"1,094",178
Caldwell,Louisiana,"20,404","9,989",00000000,10000008,n/a,Columbia,1838,541,18
Cameron,Louisiana,"10,490","6,744",000000000,100000100,http://www.parishofcameron.net/,Cameron,1832,"1,937",3
Catahoula,Louisiana,"13,789","10,238",0-00000000,1-00000100,n/a,Harrisonburg,1808,739,14
Claiborne,Louisiana,"18,187","16,650",0000000000,1100000100,http://www.claiborneone.org,Homer,1828,767,22
Concordia,Louisiana,"21,213","20,442",0000000000,1100000300,http://www.conppj.org/,Vidalia,1807,747,27
De Soto,Louisiana,"38,079","27,083",0000000000,1100677396,http://www.desotoppj.com/dppj/index.php,Mansfield,1843,895,30
East Baton Rouge,Louisiana,"184,024","445,227",00000000,10971611,http://www.ci.baton-rouge.la.us *Website Down/Blocked,Baton Rouge,1810,470,947
East Carroll,Louisiana,"6,270","7,529",000000000,100000100,n/a,Lake Providence,1877,442,17
East Feliciana,Louisiana,"60,994","19,728",00-00000000,11-00000004,http://www.eastfelicianaparish.org/,Clinton,1824,456,43
Evangeline,Louisiana,"25,649","33,578",000-0000000,110-0000115,http://www.evangelineparishpolicejury.com/,Ville Platte,1908,680,49
Franklin,Louisiana,"24,705","20,571",0000000000,1100002015,n/a,Winnsboro,1843,635,32
Grant,Louisiana,"47,810","22,030",No records found,No records found,http://gppj.org/,Colfax,1869,665,33
Iberia,Louisiana,"41,525","73,878",00000000000,10000000014,http://www.iberiaparishgovernment.com,New Iberia,1868,"1,031",72
Iberville,Louisiana,"17,557","33,367",00-00000000,11-01145875,http://www.ibervilleparish.com/,Plaquemine,1807,653,51
Jackson,Louisiana,"47,471","16,112",000-0000000,111-1113114,http://www.jacksonparishpolicejury.org,Jonesboro,1845,580,28
Jefferson,Louisiana,"186,831","434,767",00-0000000,10-0000137,http://www.jeffparish.net,Gretna,1825,665,653
Jefferson Davis,Louisiana,,"31,301",000000000,100000450,n/a,Jennings,1912,659,48
Lafayette,Louisiana,"101,218","230,845",No records found,No records found,http://www.lafayettegov.org/ *Acces Denied,Lafayette,1823,269,857
Lafourche,Louisiana,"54,550","97,141",0000000000,1043226935,http://www.lafourchegov.org/,Thibodaux,1807,"1,474",66
LaSalle,Louisiana,"13,953","14,777",000000,100002,n/a,Jena,1908,662,22
Lincoln,Louisiana,"24,958","47,414",0,1,http://www.lincolnparish.org,Ruston,1873,472,100
Livingston,Louisiana,"71,914","134,053",00T-0000000,10T-0249508,http://www.livingstonparishcouncil.com/,Livingston,1832,703,191
Madison,Louisiana,"177,313","11,927",00-0000000,10-0000100,n/a,Tallulah,1838,651,18
Morehouse,Louisiana,"21,348","27,057",000000000,100003197,n/a,Bastrop,1844,806,34
Natchitoches,Louisiana,"28,708","39,138",0000000000,1010001770,http://www.npgov.org/,Natchitoches,1807,"1,299",30
Orleans,Louisiana,"159,017","378,715",0-00-0-000-00,1-01-1-002-24,http://www.nola.gov/,New Orleans,1807,350,1081
Ouachita,Louisiana,"82,752","156,220",0,1,http://www.oppj.org/,Monroe,1807,632,247
