0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Barnstable,Massachusetts,"181,273","214,990",0000-N00-000000,1040-N34-000000,http://www.barnstablecounty.org/,Barnstable,1685,"1,306",165
Berkshire *Info not yet available,Massachusetts,"76,226","129,585",No records found,No records found,,,,,
Howard,Maryland,"103,563","304,580",00-0000,11-4496,https://www.howardcountymd.gov/,Ellicott City,1851,253,1202
Bristol,Massachusetts,"198,947","552,780",No records found,No records found,http://www.countyofbristol.net/,Taunton,1685,691,800
Dukes,Massachusetts,"21,749","17,256",No records found,No records found,http://www.dukescounty.org,Edgartown,1695,491,35
Essex *Info not yet available,Massachusetts,"261,166","762,550",No records found,No records found,n/a,,,,
Franklin*Info not yet available,Massachusetts,"41,646","71,221",No records found,No records found,n/a,,,,
Hampden *Info not yet available,Massachusetts,"166,555","467,319",0000-00000-,1076-00017-,n/a,,,,
Hampshire,Massachusetts,"64,885","159,596",No records found,No records found,http://hampshirewv.com/,Romney,1754,645,36
Middlesex,Massachusetts,"506,345","1,552,802",No records found,No records found,n/a,,,,
"Nantucket, Town and of",Massachusetts,"13,936","10,399",No records found,No records found,http://www.nantucket-ma.gov,Nantucket,1695,304,34
Norfolk,Massachusetts,"238,530","687,802",No records found,No records found,http://www.norfolkcounty.org,Dedham,1793,444,1548
Plymouth,Massachusetts,"209,784","501,915",No records found,No records found,http://www.plymouthcounty-ma.gov/,Plymouth and Brockton,1685,"1,093",459
Suffolk,Massachusetts,"194,118","755,503",0000-00000-,1942-11000-,http://www.cityofboston.gov/,Boston,1643,120,6284
Worcester *Info not yet available,Massachusetts,"312,815","809,106",No records found,No records found,,,,,
