0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Alcona,Michigan,n/a,"10,578",000-000-000-000-00,100-001-100-001-20,http://alconacountymi.com/,Harrisville,1840,"1,791",6
Alger,Michigan,n/a,"9,522",No records found,No records found,http://www.algercourthouse.com/,Munising,1885,"5,048",2
Allegan,Michigan,"63,974","112,531",00-000-000-00,10-001-001-00,http://www.allegancounty.org/,Allegan,1831,"1,833",61
Alpena,Michigan,n/a,"29,091",No records found,No records found,http://www.alpenacounty.org,Alpena,1840,"1,695",17
Antrim,Michigan,n/a,"23,370",No records found,No records found,http://www.antrimcounty.org,Bellaire,1840,602,39
Arenac,Michigan,n/a,"15,487",No records found,No records found,http://www.arenaccountygov.com/,Standish,1883,681,23
Baraga,Michigan,n/a,"8,695",No records found,No records found,http://www.baragacounty.org/,L’Anse,1875,"1,069",8
Barry,Michigan,"34,470","59,097",00-000-000-00,10-001-010-00,http://www.barrycounty.org/,Hastings,1829,577,102
Bay,Michigan,"52,232","106,832",00-000-000-000-000-00,10-001-130-002-003-11,http://www.baycounty-mi.gov/,Bay City,1857,631,169
Benzie,Michigan,n/a,"17,428",00–00-0-0-00,10–02-8-0-27,http://www.benzieco.net,Beulah,1863,860,20
Berrien,Michigan,"86,597","155,252",00-00-0000-0000-00-0,11-01-0001-0001-01-3,http://www.berriencounty.org/,Saint Joseph,1829,"1,581",98
Branch,Michigan,n/a,"43,649",000-000-000-000-00,100-001-100-005-00,http://www.countyofbranch.com,Coldwater,1829,520,84
Calhoun,Michigan,"63,913","135,012",00-000-000-00,10-001-001-00,http://www.calhouncountymi.org,Marshall,1829,718,188
Cass,Michigan,"16,618","51,910",00-000-000-000-00,14-010-001-001-02,http://www.casscountymi.org,Cassopolis,1829,508,102
Charlevoix,Michigan,"30,412","26,129",000-000-000-00,152-127-012-00,http://www.charlevoixcounty.org,Charlevoix,1869,"1,390",19
Cheboygan,Michigan,"30,999","25,726",000-000-000-000-00,101-022-200-001-00,http://www.cheboygancounty.net/,Cheboygan,1840,885,29
Chippewa,Michigan,"11,435","38,696",No records found,No records found,http://www.chippewacountymi.gov,Sault Sainte Marie,1826,"2,698",14
Clare,Michigan,n/a,"30,569",No records found,No records found,http://www.clareco.net,Harrison,1840,575,53
Clinton,Michigan,"36,900","76,739",000-000-000-000-00,100-001-100-003-00,http://www.clinton-county.org,Saint Johns,1831,575,134
Crawford,Michigan,"17,180","13,904",000-00-000-00-000-0,152-52-000-03-490-0,http://www.crawfordco.org,Grayling,1818,563,25
Delta,Michigan,"26,013","36,905",No records found,No records found,http://www.deltacountymi.org,Escanaba,1843,"1,991",19
Dickinson,Michigan,"26,690","26,098",000-000-00,102-009-00,http://www.dickinsoncountymi.gov/,Iron Mountain,1891,777,34
Eaton,Michigan,"46,187","108,348",000-000-000-000-00,100-001-100-001-00,http://www.eatoncounty.org,Charlotte,1837,579,187
Emmet,Michigan,"31,803","33,140",00-00-00-000-000,10-10-01-100-001,http://www.emmetcounty.org/,Petoskey,1853,882,38
Genesee,Michigan,"191,426","415,376",00-00-000-000,10-01-100-002,http://www.gc4me.com/,Flint,1835,650,639
Gladwin,Michigan,"27,836","25,493",000-000-000-000-00,100-002-100-002-01,http://www.gladwinco.com/,Gladwin,1855,516,49
Gogebic,Michigan,n/a,"15,916",No records found,No records found,http://www.gogebic.org,Bessemer,1881,"1,476",11
Grand Traverse,Michigan,"50,535","89,987",00-000-000-00,10-000-007-00,http://www.co.grand-traverse.mi.us,Traverse City,1851,601,150
Gratiot,Michigan,"22,252","41,968",00-000-000-00,10-001-001-00,http://www.gratiotmi.com/,Ithaca,1855,572,73
Hillsdale,Michigan,"33,019","46,101",00-000-000-000-00-0-0,10-001-100-001-01-7-4,http://www.co.hillsdale.mi.us,Hillsdale,1835,607,76
Houghton,Michigan,n/a,"36,225",000-000-000-00,101-107-001-00,http://www.houghtoncounty.net,Houghton,1845,"1,502",24
Huron,Michigan,"40,975","32,224",00-000-000-00,10-001-001-00,http://www.co.huron.mi.us,Bad Axe,1840,"2,137",15
Ingham,Michigan,"111,148","282,234",00-00-00-000-0,10-01-30-000-6,http://www.ingham.org/,Mason,1838,561,503
Ionia,Michigan,n/a,"64,073",000-000-000-000-00,100-001-000-005-00,http://www.ioniacounty.org/,Ionia,1837,580,110
Iosco,Michigan,n/a,"25,429",000-000-000-000-00,100-002-100-001-00,http://iosco.m33access.com/,Tawas City,1840,"1,890",13
Iron,Michigan,"11,277","11,516",No records found,No records found,http://www.ironmi.org,Crystal Falls,1885,"1,211",10
Isabella,Michigan,"30,740","70,436",00-000-00-000-00,10-001-10-001-00,http://www.isabellacounty.org,Mount Pleasant,1831,578,122
Jackson,Michigan,"78,019","160,369",0-000000000,1-000100000,http://www.co.jackson.mi.us/,Jackson,1832,723,222
Kalamazoo,Michigan,"106,721","256,725",00-00-000-00O,10-00-271-30O,http://www.kalcounty.com,Kalamazoo,1829,580,442
Kalkaska,Michigan,n/a,"17,196",No records found,No records found,http://www.kalkaskacounty.net,Kalkaska,1870,571,30
Kent,Michigan,n/a,"621,700",0 – – – –,1 – – – –,http://www.co.kent.mi.us,Grand Rapids,1836,872,713
Keweenaw,Michigan,n/a,"2,191",00-000-00-000-000,10-153-02-501-100,http://www.keweenawcountyonline.org/,Eagle River,1861,"5,966",0
Lake,Michigan,"30,879","11,386",00-000-000-00,10-001-001-00,http://www.lakecounty-michigan.com/,Baldwin,1870,574,20
Lapeer,Michigan,n/a,"88,389",00000000000,10002014100,http://www.lapeercountyweb.org/,Lapeer,1837,663,133
Leelanau,Michigan,"27,483","21,747",No records found,No records found,http://www.leelanau.cc/,Leland,1863,"2,532",9
Lenawee,Michigan,n/a,"99,188",No records found,No records found,http://www.lenawee.mi.us,Adrian,1822,761,130
Livingston,Michigan,"10,429","184,443",00-00-000-000,10-01-100-004,http://www.co.livingston.mi.us/,Howell,1836,585,315
Luce,Michigan,n/a,"6,502",No records found,No records found,http://www.lucecountymi.com/,Newberry,1887,"1,912",3
