0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adams,Mississippi,"18,911","32,090",No records found,No records found,http://www.adamscountyms.net,Natchez,1799,488,66
Alcorn,Mississippi,"22,468","37,316",0000-00-00000,1003-05-00100,http://alcorncounty.org/,Corinth,1870,401,93
Amite,Mississippi,"17,072","12,899",00-000-00-0000000,12-100-01-0000100,http://www.amitecounty.ms,Liberty,1809,732,18
Attala,Mississippi,n/a,"19,317",0000-000-0000000,1001-010-0001000,http://www.attalacounty.net/index.php,Kosciusko,1833,737,26
Benton,Mississippi,"9,042","8,571",0-0000-00-000-000.00,1-0010-18-000-001.00,n/a,Ashland,1870,409,21
Bolivar,Mississippi,"23,102","34,049",00-00-000-00-00000,10-01-900-00-00100,http://www.co.bolivar.ms.us,Cleveland and Rosedale,1836,906,38
Calhoun,Mississippi,"12,982","14,734",000000-000-00-00,100100-001-00-01,n/a,Pittsboro,1852,588,25
Carroll,Mississippi,"9,891","10,385",000-00-0000000,100-25-0001000,n/a,Carrollton,1833,635,16
Chickasaw,Mississippi,"12,534","17,311",0-000-00-000.00,1-057-36-006.00,http://www.chickasawcoms.com,Houston and Okolona,1836,504,34
Choctaw,Mississippi,"8,558","8,371",000-0000-0000000,100-0029-0001000,n/a,Ackerman,1833,420,20
Claiborne,Mississippi,"7,738","9,253",0-0000-00-000-00,1-0001-10-001-00,n/a,Port Gibson,1802,501,18
Clarke,Mississippi,"17,501","16,415",000-00-00-000.00,100-04-00-001.00,n/a,Quitman,1812,694,24
Clay,Mississippi,"12,444","20,408",000-00-0000000,100-22-0010000,http://claycountyms.com/index.php,West Point,1872,416,49
Coahoma,Mississippi,"16,087","25,182",000-000000000-0000000,109-310000000-0000100,http://www.coahomacounty.net/,Clarksdale,1836,583,43
Copiah,Mississippi,"22,716","28,921",0-000-00-000.00,1-001-06-001.00,http://www.copiahcounty.org,Hazlehurst,1823,779,37
Covington,Mississippi,"14,638","19,423",0000-00-00000,1070-35-00100,n/a,Collins,1819,415,47
DeSoto,Mississippi,"75,053","168,240",0000000000000000,1054170000000100,http://www.desotocountyms.gov/,Hernando,1836,497,339
Forrest,Mississippi,"41,964","77,059",0-000 -00-000.00,1-001 -01-001.00,http://www.forrestcountyms.us,Hattiesburg,1906,470,164
Franklin,Mississippi,"8,914","7,931",000-00-000-00,100-18-001-00,n/a,Meadville,1809,567,14
