0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Beaverhead,Montana,"15,801","9,341",00-0000,10-1606,http://www.beaverheadcounty.org,Dillon,1864,"5,572",2
Big Horn,Montana,"15,065","13,042",No records found,No records found,http://bighorncountymt.gov/,Hardin,1913,"5,015",3
Blaine,Montana,"12,898","6,604",No records found,No records found,http://www.co.blaine.mt.gov/ *Webpage not available,Chinook,1895,"4,239",2
Broadwater,Montana,"7,293","5,692",No records found,No records found,http://www.townsendmt.com,Townsend,1897,"1,239",5
Carbon,Montana,"14,698","10,340",00-0000-00-0-00-00-0000,10-0274-15-1-16-01-0000,http://co.carbon.mt.us/,Red Lodge,1895,"2,062",5
Carter,Montana,"7,976","1,174",No records found,No records found,http://www.cartercountymt.info/,Ekalaka,1917,"3,348",0
Cascade,Montana,"55,414","82,384",No records found,No records found,http://www.cascadecountymt.gov/,Great Falls,1887,"2,711",30
Chouteau,Montana,"14,104","5,849",00-0000-00-0-00-00-0000,19-2899-01-1-01-01-0000,http://www.co.chouteau.mt.us,Fort Benton,1865,"3,997",1
Custer,Montana,"11,913","11,951",00-0000-00-0-00-00-0000,14-1053-02-2-02-01-0000,http://ccsomt.com,Miles City,1865,"3,793",3
Daniels,Montana,"5,749","1,791",No records found,No records found,n/a,Scobey,1920,"1,426",1
Dawson,Montana,"8,998","9,445",00-0000-00-0-00-00-0000,16-2294-01-2-04-01-0000,http://www.dawsoncountymontana.org,Glendive,1865,"2,383",4
Deer Lodge,Montana,"7,512","9,329",No records found,No records found,http://www.anacondadeerlodge.mt.gov/,Anaconda,1864,741,13
Fallon,Montana,"4,642","3,079",No records found,No records found,http://www.Falloncounty.Net,Baker,1913,"1,623",2
Fergus,Montana,"20,953","11,501",No records found,No records found,http://www.co.fergus.mt.us,Lewistown,1885,"4,350",3
Flathead,Montana,"108,831","93,068",No records found,No records found,http://flathead.mt.gov/,Kalispell,1893,"5,256",18
Gallatin,Montana,"48,071","94,720",00-0000-00-0-00-00-0000,06-0427-36-3-05-20-7000,http://www.Gallatin.Mt.Gov,Bozeman,1864,"2,632",36
Garfield,Montana,"9,206","1,290",No records found,No records found,http://www.garfieldco.us,Jordan,1919,"4,847",0
Glacier,Montana,"13,064","13,739",00-00,14-52,http://www.glaciercountymt.org,Cut Bank,1919,"3,037",5
Golden Valley,Montana,"2,552",859,00-0000-00-0-00-00-0000,53-1514-05-3-01-03-0000,http://www.co.golden-valley.mt.us/,Ryegate,1920,"1,176",1
Granite,Montana,"7,475","3,138",No records found,No records found,http://www.co.granite.mt.us,Philipsburg,1893,"1,733",2
Hill,Montana,"14,322","16,568",00-0000-00-0-00-00-0000,12-4006-01-1-01-01-0000,http://hillcounty.us/,Havre,1912,"2,916",6
Jefferson,Montana,"12,888","11,512",No records found,No records found,http://www.jeffersoncounty-mt.gov/,Boulder,1864,"1,659",7
Judith Basin,Montana,"7,175","2,016",No records found,No records found,http://www.co.judith-basin.mt.us/,Stanford,1920,"1,871",1
Lake,Montana,"30,879","29,017",00-0000-00-0-00-00-0000,15-2534-01-1-01-03-0000,http://www.lakemt.gov/,Polson,1923,"1,654",18
Lewis and Clark,Montana,"38,228","65,338",00-0000-00-0-00-00-0000,18-8833-34-1-03-75-2800,http://www.lccountymt.gov/,Helena,1864,"3,498",19
Liberty,Montana,"4,795","2,369",No records found,No records found,http://co.liberty.mt.us/,Chester,1920,"1,447",2
Lincoln,Montana,"22,843","19,460",No records found,No records found,http://www.lincolncountymt.us,Libby,1909,"3,675",5
McCone,Montana,"6,666","1,709",No records found,No records found,http://www.mccone.mt.gov,Circle,1919,"2,683",1
Madison,Montana,"21,367","7,712",No records found,No records found,http://madison.mt.gov,Virginia City,1864,"3,603",2
Meagher,Montana,"6,101","1,937",No records found,No records found,http://www.meaghercounty.mt.gov/,White Sulphur Springs,1867,"2,395",1
Mineral,Montana,"5,528","4,275",No records found,No records found,http://www.co.mineral.mt.us,Superior,1914,"1,223",3
Missoula,Montana,"52,711","111,807",no records found,no records found,http://www.co.missoula.mt.us *Website not responding,Missoula,1864,"2,618",43
Musselshell,Montana,"7,931","4,629",00-0000-00-0-00-00-0000,23-1425-14-1-01-01-0000,n/a,Roundup,1911,"1,871",2
Park,Montana,"15,454","15,682",no records found,no records found,http://www.parkcounty.org/,Livingston,"1,887","2,813",6
Petroleum,Montana,"4,541",506,no records found,no records found,http://petroleumcountymt.org/,Winnett,1926,"1,674",0
Phillips,Montana,"14,603","4,179",00-0000-00-0-00-00-0000,11-3048-02-2-02-01-0000,n/a,Malta,1915,"5,212",1
Pondera,Montana,"8,293","6,211",no records found,no records found,http://www.ponderacountymontana.org/,Conrad,1919,"1,640",4
Powder River,Montana,"7,143","1,748",no records found,no records found,http://prco.mt.gov/,Broadus,1919,"3,298",1
Powell,Montana,"8,077","6,993",no records found,no records found,http://www.powellcountymt.gov/,Deer Lodge,1901,"2,333",3
Prairie,Montana,"3,757","1,179",no records found,no records found,n/a,Terry,1915,"1,743",1
