0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Arkansas,Arkansas,"15,982","18,777",000-00000-000,001-00001-000,COUNTY HAS NO WEBSITE,De Witt and Stuttgart,1813,"1,034",18
Ashley,Arkansas,"18,644","21,283",000-00000-000,100-00001-000,http://ashleycounty.arkansas.gov/,Hamburg,1848,941,23
Baxter,Arkansas,"37,505","40,957",000-00000-000,001-00001-000,http://www.baxtercounty.org,Mountain Home,1873,587,70
Benton,Arkansas,"150,054","237,297",00-00000-000,10-00001-000,http://www.co.benton.ar.us,Bentonville,1836,884,268
Boone,Arkansas,"24,284","37,396",000-00000-000,100-00001-000,http://boonecountyar.com,Harrison,1869,602,62
Bradley,Arkansas,"12,214","11,249",000-00000-000,100-00001-000,COUNTY HAS NO WEBSITE,Warren,1840,653,17
Calhoun,Arkansas,"9,949","5,241",000-00000-000,100-00001-000,COUNTY HAS NO WEBSITE,Hampton,1850,632,8
Carroll,Arkansas,"24,388","27,808",000-00000-000,103-00001-000,http://co.carroll.ar.us/,Berryville and Eureka Springs,1833,639,44
Chicot,Arkansas,"15,038","11,335",000-00000-000,010-00001-000,COUNTY HAS NO WEBSITE,Lake Village,1823,691,16
Clark,Arkansas,"19,412","22,743",00-00000-000,12-00001-000,http://www.clarkcountyarkansas.com,Arkadelphia,1818,883,26
Clay,Arkansas,"16,256","15,402",000-00000-000,121-04160-000,http://claycounty.arkansas.gov,Piggott and Corning,1873,641,24
Cleburne,Arkansas,"28,095","25,686",000-00000-000-C,100-00001-000-C,http://www.cleburnecountyar.com/,Heber Springs,1883,592,43
Cleveland,Arkansas,"7,113","8,593",00000-00,10000-00,COUNTY HAS NO WEBSITE,Rison,1873,599,14
Columbia,Arkansas,"10,043","24,164",00-00000-000,00-00009-000,http://www.countyofcolumbia.net/,Magnolia,1852,767,32
Conway,Arkansas,"18,848","21,245",000-00000-000,001-00009-000,COUNTY HAS NO WEBSITE,Morrilton,1825,567,37
Craighead,Arkansas,"49,521","101,488",00-000000-00000,10-135141-00100,http://www.craigheadcounty.org,Jonesboro and Lake City,1859,713,142
Crawford,Arkansas,"36,132","61,640",000-00000-000,100-00002-000,http://www.crawford-county.org,Van Buren,1820,604,102
Crittenden,Arkansas,"22,275","49,746",000-000000-000,100-011000-000,COUNTY HAS NO WEBSITE,Marion,1825,636,78
Cross,Arkansas,"12,408","17,548",000-00000-000,001-00001-000,COUNTY HAS NO WEBSITE,Wynne,1862,622,28
Dallas,Arkansas,"9,777","7,933",000-00000-000,100-00067-000,COUNTY HAS NO WEBSITE,Fordyce,1845,668,12
Desha,Arkansas,"9,433","12,505",000-00000-000,001-00098-000,COUNTY HAS NO WEBSITE,Arkansas City,1838,820,15
Drew,Arkansas,"10,485","18,785",000-00000-000,100-00001-000,COUNTY HAS NO WEBSITE,Monticello,1846,836,22
Faulkner,Arkansas,"51,398","119,580",000-00000-000,120-00001-000,http://www.faulknercounty.org/,Conway,1873,664,180
Franklin,Arkansas,"15,228","18,034",000-00000-000,001-00088-002,COUNTY HAS NO WEBSITE,Charleston and Ozark,1837,620,29
Fulton,Arkansas,"17,083","12,304",000-00000-000,105-10000-000,COUNTY HAS NO WEBSITE,Salem,1842,620,20
Garland,Arkansas,"75,466","97,173",000000,100000,http://www.garlandcounty.org/,Hot Springs,1873,735,132
Grant,Arkansas,"39,157","18,019",000-00000-000,100-00001-000,http://grantcountyar.com,Sheridan,1869,633,28
Greene,Arkansas,"16,703","43,097",0000-00000-000,1001-01120-001,http://www.greenecountyar.com/offices.html,Paragould,1833,580,74
Hempstead,Arkansas,"15,038","22,474",000-00000-000,100-00001-000,COUNTY HAS NO WEBSITE,Hope,1818,741,30
Hot Spring,Arkansas,"20,640","33,500",000-00000-000,100-00094-000,COUNTY HAS NO WEBSITE,Malvern,1829,622,54
Howard,Arkansas,"10,728","13,581",000-00000-000E,001-00001-000E,COUNTY HAS NO WEBSITE,Nashville,1873,595,23
Independence,Arkansas,"15,987","36,997",0000000000,1000001000,http://www.independencecounty.com/,Batesville,1820,772,48
Izard,Arkansas,"28,709","13,368",000-00000-000,100-00001-000,The website cant be reach,Melbourne,1825,584,23
Jackson,Arkansas,"14,028","17,615",000-00000-000,199-00030-019,http://www.jacksoncountyar.org,Newport,1829,642,27
Jefferson,Arkansas,"51,140","73,191",000-00000-000,100-00001-000,http://jeffersoncounty.arkansas.gov/,Pine Bluff,1829,914,80
Johnson,Arkansas,"15,956","25,846",000-00000-000,100-00001-000,http://johnsoncounty.arkansas.gov/,Clarksville,1833,683,38
Lafayette,Arkansas,"8,531","7,252",000-00000,100-00001,http://www.lafayettecounty.arkansas.gov,Lewisville,1827,545,13
Lawrence,Arkansas,"4,666","17,011",000-00000-000,100-00001-000,n/a,Walnut Ridge,1815,592,29
Lee,Arkansas,"7,310","10,015",00-00000,01-00001,n/a,Marianna,1873,620,16
Lincoln,Arkansas,"7,349","14,031",000-00000-000,100-00001-000,http://county.arkansas.gov/lincoln/,Star City,1871,572,25
Little River,Arkansas,"14,116","12,730",000-00000-000,001-00007-001,The website cant be reach,Ashdown,1867,565,23
Logan,Arkansas,"19,681","22,082",000-00000-000,100-00001-000,n/a,Booneville and Paris,1871,732,30
Lonoke,Arkansas,"39,089","70,753",000-00000-000,102-00001-000,n/a,Lonoke,1873,803,88
Madison,Arkansas,"17,436","15,701",000-000000-000,100-00001-000,http://madisoncogov.com/,Huntsville,1836,837,19
Marion,Arkansas,"10,835","16,430",000-00000-000,110-00001-000,The website cant be reach,Yellville,1835,640,26
Miller,Arkansas,"26,441","43,402",0000000,1010010,http://www.millercounty.arkansas.gov,Texarkana,1862,638,68
Mississippi,Arkansas,"30,329","44,765",000-00000-000,101-02032-000,http://www.mcagov.com/,Blytheville and Osceola,1883,920,49
Monroe,Arkansas,"9,409","7,682",0000-00000-000,1101-00003-000,n/a,Clarendon,1839,621,12
Montgomery,Arkansas,"11,144","9,226",000-00000-000,001-00085-000,n/a,Mount Ida,1842,800,12
Nevada,Arkansas,"67,819","8,799",000-00000-000,100-00003-000,n/a,Prescott,1871,621,14
Newton,Arkansas,"6,465","8,064",000-00000-000,145-00001-000,n/a,Jasper,1842,823,10
Ouachita,Arkansas,"16,746","25,002",000-00000-000R,100-00001-000R,n/a,Camden,1842,740,34
Perry,Arkansas,"18,665","10,345",000-00000-000,100-00100-001,n/a,Perryville,1840,561,18
Phillips,Arkansas,"7,276","20,399",000-00000-000,100-00001-000,n/a,Helena,1820,727,28
Pike,Arkansas,"10,812","11,177",000-00000-000,120-00001-000,n/a,Murfreesboro,1833,614,18
Poinsett,Arkansas,"17,516","24,145",000-00000-0000,100-00001-0000,http://www.poinsettcounty.us/,Harrisburg,1838,764,32
Polk,Arkansas,"18,080","20,406",0000-00136-0000,0000-00136-0000,n/a,Mena,1844,862,24
Pope,Arkansas,"30,296","62,547",000-00000-000E,111-11111-111E,http://www.popecountyar.com/,Russellville,1829,831,75
Prairie,Arkansas,"7,998","8,374",000-00000-000,001-00001-000,n/a,Des Arc and De Valls Bluff,1846,676,12
Pulaski,Arkansas,"174,523","391,284",00A-000-00-000-00,11A-001-00-001-00,http://pulaskicounty.net/,Little Rock,1818,808,484
Randolph,Arkansas,"16,645","17,692",000-00000-000,100-00001-000,http://www.randolphchamber.com/,Pocahontas,1835,656,27
St. Francis,Arkansas,"7,006","27,260",0000-00000-0000,0001-00002-0000,n/a,Forrest City,1827,643,42
