0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Alameda,California,"469,919","1,578,891",0-0000-000,1-0000-000,http://www.acgov.org,Oakland,"1,853","1,853",1922
Alpine,California,"2,305","1,159",00-000-000-0-0,11-102-100-3-0,http://www.alpinecountyca.gov/,Markleeville,"1,864",743,2
Amador,California,"23,929","36,519",00-000-000-00,10-150-023-00,http://www.co.amador.ca.us,Jackson,"1,854",606,60
Butte,California,"94,149","222,090",000-000- -000,100-051- -000,http://www.buttecounty.net,Oroville,"1,850","1,677",132
Calaveras,California,"43,591","44,515",000-000-000-000,105-023-009-000,http://www.co.calaveras.ca.us,San Andreas,1850,"1,037",43
Colusa,California,"14,726","21,358",000-000-000-000,101-086-002-501,http://www.countyofcolusa.org/,Colusa,1850,"1,156",18
Contra Costa,California,"495,634","1,094,205",000-000-000-0,100-010-001-4,http://www.co.contra-costa.ca.us,Martinez,1850,804,1361
Del Norte,California,"16,165","27,873",000-000-00,101-010-06,http://www.co.del-norte.ca.us,Crescent City,1857,"1,230",23
El Dorado,California,"108,990","181,737",000-000-00-000,100-010-02-100,http://www.edcgov.us/,Placerville,1850,"1,786",102
Fresno,California,"301,260","955,272",000-000-00,105-130-08,http://www.co.fresno.ca.us,Fresno,1856,"6,011",159
Glenn,California,"15,099","27,940",00-00-0-000-0-0,12-10-8-000-7-0,http://www.countyofglenn.net,Willows,1891,"1,327",21
Humboldt,California,"72,389","134,493",000-000-000-000,100-011-001-000,http://www.humboldtgov.org/,Eureka,1853,"4,052",33
Imperial,California,"86,084","176,584",000-000-000-000,100-045-032-000,http://www.co.imperial.ca.us,El Centro,1907,"4,482",39
Inyo,California,"17,363","18,467",00-000-00,10-070-01,http://www.inyocounty.us,Independence,1866,"10,227",2
Kern,California,"403,919","864,124",000-000-00-00,100-010-03-00,http://www.co.kern.ca.us,Bakersfield,1866,8163,106
Kings,California,"48,753","150,960",000-000-000-000,100-190-088-000,http://www.countyofkings.com,Hanford,1893,1392,108
Lake,California,"64,120","63,860",000-000-00-00,102-361-51-00,http://www.co.lake.ca.us,Lakeport,1861,1329,48
Lassen,California,"38,508","32,163",000-000-00-00,101-010-01-11,http://www.co.lassen.ca.us,Susanville,1864,1864,7
Los Angeles,California,"2,400,706",########,0000-000-000,1001-043-047,http://portal.lacounty.gov,Los Angeles,1850,4751,2108
Madera,California,"57,214","152,389",000-000-000,103-413-004,http://www.madera-county.com,Madera,1893,2153,71
