0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Alamance,North Carolina,"70,757","154,378",00-00-00,10-26-24,http://www.alamance-nc.com/,Graham,1848,435,355
Alexander,North Carolina,"24,322","36,930",0000000,1102816,http://www.alexandercountync.gov,Taylorsville,1850,264,140
Alleghany,North Carolina,"14,471","10,939",No records found,No records found,http://www.alleghanycounty-nc.gov,Sparta,1859,237,46
Anson,North Carolina,"22,045","26,161",No records found,No records found,http://www.co.anson.nc.us,Wadesboro,1749,537,49
Ashe,North Carolina,"38,665","27,151",00000-000,10022-001,http://www.ashecountygov.com,Jefferson,1799,429,63
Avery,North Carolina,"22,906","17,713",0000-00-00-0000-00000,1800-00-49-4763-00000,http://www.averycountync.gov/,Newland,1911,247,72
Beaufort,North Carolina,"43,824","47,464",00000,10002,http://www.co.beaufort.nc.us,Washington,1705,958,50
Bertie,North Carolina,"18,842","20,344",0000-00-000000,5739-69-455303,http://www.co.bertie.nc.us,Windsor,1722,741,27
Bladen,North Carolina,"32,957","34,843",00000000000O,120500391322,http://www.bladeninfo.org,Elizabethtown,1734,887,39
Brunswick,North Carolina,"138,086","115,301",0000000O00,1000000301,http://brunswickcountync.gov,Bolivia,1764,"1,050",110
Buncombe,North Carolina,"123,953","247,912",0000.00-00-0000.000,1000.42-55-3555.000,http://www.buncombecounty.org/,Asheville,1792,660,376
Burke,North Carolina,"59,053","89,842",00000,10003,http://www.burkenc.org/,Morganton,1777,515,174
Cabarrus,North Carolina,"100,103","187,226",0000-00-0000-0000,1000-25-2700-0000,http://www.cabarruscounty.us,Concord,1792,364,514
Caldwell,North Carolina,"51,619","81,990",00-0-0-00,10-1-1-10,http://www.caldwellcountync.org,Lenoir,1841,474,173
Camden,North Carolina,"7,393","10,187",00.0000.00.00.0000.0000,13.8953.04.63.9972.5730,http://www.camdencountync.gov/,Camden,1777,310,33
Carteret,North Carolina,"60,119","68,434",0000.00.00.0000000,1117.00.74.3262000,http://www.carteretcountygov.org/,Beaufort,1722,"1,341",51
Caswell,North Carolina,"16,854","23,190",0000.00.00.0000.0000,1001.00.01.0003.0000,http://www.caswellcountync.gov/,Yanceyville,1777,428,54
Catawba,North Carolina,"86,786","154,810",00O0000000000000,1751130226430000,http://www.catawbacountync.gov,Newton,1842,413,374
Chatham,North Carolina,"43,659","66,817",00000,10008,http://www.chathamnc.org/,Pittsboro,1842,710,94
