0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adams,North Dakota,"20,916","2,360",00000000,10005000,n/a,Hettinger,1885,989,2
Barnes,North Dakota,n/a,"11,190",0000000000000,1000000124000,http://www.co.barnes.nd.us,Valley City,1875,"1,513",7
Benson,North Dakota,n/a,"6,877",00000000000000,10000002073000,http://www.bensoncountynd.com/,Minnewaukan,1883,"1,439",5
Billings,North Dakota,n/a,874,00-0000-00000-000,10-0000-00327-000,http://www.billingscountynd.gov,Medora,1879,"1,153",1
Bottineau,North Dakota,"17,682","6,736",00-0000-00000-000,10-0000-05158-000,http://botco.homestead.com/,Bottineau,1873,"1,697",4
Bowman,North Dakota,n/a,"3,214",00-000-000000-000,10-000-001767-000,http://www.bowmannd.com/county/,Bowman,1883,"1,167",3
Burke,North Dakota,"8,282","2,306",No records found,No records found,http://www.burkecountynd.com/,Bowbells,1910,"1,129",2
Burleigh,North Dakota,"44,451","88,457",00-000-00-00-00-000,10-120-00-00-05-310,http://www.burleighco.com/,Bismarck,1873,"1,668",53
Cass,North Dakota,"70,245","162,829",00-0000-00000-000,10-0000-05449-000,http://www.casscountygov.com,Fargo,1873,"1,768",92
Cavalier,North Dakota,"12,094","3,896",00000000,10001000,http://www.cavaliercounty.us/,Langdon,1873,"1,510",3
Dickey,North Dakota,n/a,"5,248",00000000,10000000,http://www.dickeynd.com/,Ellendale,1881,"1,142",5
Divide,North Dakota,"8,566","2,314",00-0000-00000-000,10-0000-55150-000,http://www.dividecountynd.org/,Crosby,1910,"1,294",2
Dunn,North Dakota,"18,726","4,162",000000000,107642000,http://www.dunncountynd.org/,Manning,1883,"2,082",2
Eddy,North Dakota,"5,526","2,404",00-0000-00000-000,10-0000-01760-000,N/A,New Rockford,1885,644,4
Emmons,North Dakota,"9,593","3,486",00-0000-00000-000,10-0000-06284-000,http://emmonscounty.tripod.com/,Linton,1879,"1,555",2
Foster,North Dakota,n/a,"3,366",000000,100000,http://www.fostercounty.com,Carrington,1873,647,5
Golden Valley,North Dakota,"3,630","1,823",0000000,1184000,http://www.beachnd.com,Beach,1912,"1,002",2
Grand Forks,North Dakota,"31,049","69,179",00000000000000,10010100001000,http://www.gfcounty.nd.gov,Grand Forks,1873,"1,440",48
Grant,North Dakota,"8,915","2,377",00000000,10502200,http://www.grantcountynd.com/,Carson,1916,"1,666",1
Griggs,North Dakota,n/a,"2,296",00-0000-00000-000,10-0000-02647-010,http://www.griggscountynd.gov/,Cooperstown,1881,716,3
Hettinger,North Dakota,n/a,"2,660",00-00000-0000-000,10-00000-1524-000,http://www.hettingercounty.net/,Mott,1883,"1,134",2
Kidder,North Dakota,n/a,"2,428",00000000,10001010,N/A,Steele,1873,"1,433",2
LaMoure,North Dakota,"9,852","4,166",000000000,100101000,http://www.lamourecountynd.com/,La Moure,1873,"1,151",4
Logan,North Dakota,"20,660","1,946",00000000,10000000,http://logancountynd.com/,Napoleon,1873,"1,011",2
McHenry,North Dakota,"15,516","5,922",00000000000000,10000001713000,N/A,Towner,1873,"1,912",3
McIntosh,North Dakota,"12,660","2,754",No records found,No records found,N/A,Ashley,1883,995,3
McKenzie,North Dakota,"17,292","9,314",000000000,100000100,http://county.mckenziecounty.net/,Watford City,1905,"2,861",3
McLean,North Dakota,"19,904","9,517",00-0000-00000-000,10-0001-01168-000,http://www.visitmcleancounty.com/,Washburn,1883,"2,328",4
Mercer,North Dakota,"12,223","8,592",00-000-00-00-00-000,13-141-88-00-19-200,http://www.mercercountynd.com,Stanton,1875,"1,112",8
Morton,North Dakota,"23,416","28,990",0-0000000,0-0001000,http://www.co.morton.nd.us,Mandan,1873,"1,945",15
