0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adams,Nebraska,"17,157","31,610",000-00000.00,100-00010.00,http://www.adamscounty.org/,Hastings,1867,564,56
Antelope,Nebraska,"8,333","6,456",000-0000-00,000-3735-00,http://www.co.antelope.ne.us/,Neligh,1871,859,8
Arthur,Nebraska,977,458,00000000,30003466,http://www.arthurcounty.ne.gov/,Arthur,1887,718,1
Banner,Nebraska,"2,324",759,00-000-0000,04-001-2263,http://www.bannercounty-gov.us *Website not available,Harrisburg,1888,746,1
Blaine,Nebraska,"1,530",482,000000000,50000001,http://www.blainecounty.ne.gov/,Brewster,1885,715,1
Boone,Nebraska,"6,261","5,388",0000000,2960010,http://www.co.boone.ne.us/,Albion,1871,687,8
Box Butte,Nebraska,"8,640","11,305",000000000,70000018,http://www.co.box-butte.ne.us *Website can’t be reached,Alliance,1886,"1,078",10
Boyd,Nebraska,"4,595","2,032",000000000,100000100,http://www.boydcounty.ne.gov/,Butte,1891,545,4
Brown,Nebraska,"5,391","2,926",000000000,90014839,n/a,Ainsworth,1883,"1,225",2
Buffalo,Nebraska,"23,253","47,893",000000000,100001000,http://www.buffalogov.org/,Kearney,1855,975,49
Burt,Nebraska,"7,723","6,574",000000000,110000200,http://www.burtcounty.ne.gov,Tekamah,1854,497,13
Butler,Nebraska,"8,580","8,312",0000-00000,1200-00000,http://www.co.butler.ne.us,David City,1857,591,14
Cass,Nebraska,"21,491","25,357",000000000,130000000,http://www.cassne.org/,Plattsmouth,1854,566,45
Cedar,Nebraska,"9,556","8,711",00.00,10.00,http://www.co.cedar.ne.us/,Hartington,1855,746,12
Chase,Nebraska,"5,110","4,000",000000000,150000006,http://www.co.chase.ne.us/,Imperial,1873,897,4
Cherry,Nebraska,"17,080","5,788",000000000,160000009,http://www.co.cherry.ne.us,Valentine,1883,"6,009",1
Cheyenne,Nebraska,"9,827","10,091",000000000,170000001,http://www.co.cheyenne.ne.us/,Sidney,1867,"1,196",8
Clay,Nebraska,"8,089","6,392",000000,100000,http://www.claycounty.ne.gov,Clay Center,1855,574,11
