0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Bergen,New Jersey,"295,868","925,328",00-00000-0000-00000,10-00101-0000-00002,http://www.co.bergen.nj.us,Hackensack,1683,247,3751
Burlington,New Jersey,"239,706","450,838",00-00000-0000-00000,10-00001-0000-00001,http://www.co.burlington.nj.us,Mount Holly,1694,820,550
Camden,New Jersey,"195,893","512,854",00-00000-0000-00000,10-00101-0000-00001,http://www.co.camden.nj.us,Camden,1844,227,2256
Cape May,New Jersey,"148,822","95,897",00-00000-00-00000,10-00080-02-00027,http://www.co.cape-may.nj.us,Cape May Court House,1692,620,155
Cumberland,New Jersey,"73,430","157,332",00-00000-0000-00000,10-00001-0000-00003,http://www.co.cumberland.nj.us,Bridgeton,1748,678,232
Essex,New Jersey,"186,062","789,565",00-00000-0000-00000,10-00059-0000-00015,http://www.essex-countynj.org,Newark,1683,130,6091
Gloucester,New Jersey,"124,081","290,265",00-00000-0000-00000,10-00001-0000-00002,http://www.co.gloucester.nj.us,Woodbury,1686,337,861
Hudson,New Jersey,"132,030","660,282",00-00000-0000-00000,10-00002-0000-00001,http://www.hudsoncountynj.org,Jersey City,1840,62,10596
Hunterdon,New Jersey,"54,607","126,250",00-00000-0000-00000,10-00001-0000-00001,http://www.co.hunterdon.nj.us,Flemington,1714,437,289
Mercer,New Jersey,"139,847","370,414",00–0000-0-00-00-00-000,10–0280-2-00-00-00-005,http://www.mercercounty.org/,Trenton,1838,229,1618
Middlesex,New Jersey,"282,330","828,919",00-00000-0000-00000,10-00001-0000-00001,http://www.co.middlesex.nj.us,New Brunswick,1683,323,2568
Monmouth,New Jersey,"253,485","629,672",00-00000-0000-00000,10-00001-0000-00003,http://www.visitmonmouth.com,Freehold,1683,665,946
Morris,New Jersey,"179,364","499,397",00-00000-0000-00000-00,10-00001-0000-00006-01,http://www.co.morris.nj.us,Morristown,1739,482,1037
Ocean,New Jersey,"420,971","583,414",00-00000-0000-00000,10-00001-0000-00005,http://www.co.ocean.nj.us/,Toms River,1850,915,637
Passaic,New Jersey,"128,856","505,672",00-00000-0000-00000,10-00001-0000-00003,http://www.passaiccountynj.org/,Paterson,1837,197,2566
Salem,New Jersey,"32,719","65,166",00-00000-0000,10-00000-0000,http://www.salemcountynj.gov,Salem,1694,372,175
Somerset,New Jersey,"129,853","330,585",00-00000-0000-00000,10-00001-0000-00001,http://www.co.somerset.nj.us,Somerville,1688,305,1084
Sussex,New Jersey,"75,519","145,992",00-00000-0000-00000,10-00101-0000-00004,http://www.sussex.nj.us,Newton,1753,536,273
Union,New Jersey,"149,032","548,256",00-00000-0000-00000,10-00001-0000-00004,http://www.ucnj.org,Elizabeth,1857,105,5202
Warren,New Jersey,"48,657","107,379",00-00000-0000-00000-00,10-00001-0000-00001-01,http://www.warrennet.org/warrencounty/,Belvidere,1824,363,296
