0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Bernalillo,New Mexico,"251,318","674,221",0-000-000-000000-0-00-00,1-001-043-265030-4-01-07,http://www.bernco.gov,Albuquerque,1852,1167,578
Catron,New Mexico,n/a,"3,607",0000000000000,1000001115201,http://www.catroncounty.us/,Reserve,1921,6929,1
Chaves,New Mexico,"36,116","65,823",0000000,1001426,http://www.co.chaves.nm.us/,Roswell,1889,6075,11
Cibola,New Mexico,"22,707","27,335",00-00000,10-01198,http://www.cibolacountynm.com/,Grants,1981,4542,6
Colfax,New Mexico,n/a,"13,094",00000,10005,http://www.co.colfax.nm.us,Raton,1869,3768,3
Curry,New Mexico,"25,888","50,598",000000000000000,118100426426400,http://www.currycounty.org,Clovis,1909,1408,36
De Baca,New Mexico,n/a,"1,907",000000000000000,111500746026400,n/a,Fort Sumner,1917,2334,1
Doña Ana,New Mexico,"86,335","213,460",00-00000,11-00001,no search found,,,,
Eddy,New Mexico,"51,403","55,471",000000,103371,http://www.co.eddy.nm.us,Carlsbad,1887,4198,13
Grant,New Mexico,"8,915","29,328",No records found.,No records found.,http://www.grantcountynm.com/,Silver City,1868,3968,7
Guadalupe,New Mexico,"72,366","4,551",0-000-000-000-000-000000,1-001-000-401-151-170346,http://guadalupecounty-nm.com/,Santa Rosa,1891,3032,2
Harding,New Mexico,"6,672",693,0000,1005,http://www.hardingcounty.org,Mosquero,1921,2126,0
Hidalgo,New Mexico,"291,692","4,654",0000000000000,2023126300001,http://www.hidalgocounty.org/,Lordsburg,1920,3446,1
Lea,New Mexico,"41,731","68,062",0000000000000,4000010020001,http://www.leacounty.net,Lovington,1917,4394,15
Lincoln,New Mexico,"39,212","20,105",00000000000000000,1000000000001000000,http://www.lincolncountynm.gov/,Carrizozo,1869,4831,4
Los Alamos,New Mexico,"8,222","17,798",0000000000000,1032112318406,http://www.losalamosnm.us/,Los Alamos,1949,109,163
Luna,New Mexico,"116,126","24,659",0000000000000,3027126118473,http://www.lunacountynm.us/,Deming,1901,2965,8
McKinley,New Mexico,n/a,"73,308",R000000,R112755,http://www.co.mckinley.nm.us/,Gallup,1899,5455,13
Mora,New Mexico,n/a,"4,704",000000,100380,http://www.countyofmora.com,Mora,1859,1934,2
Otero,New Mexico,"48,451","65,616",00-00000,10-01534,http://ocwebserver7.co.otero.nm.us/Main_Page.php,Alamogordo,1899,6628,10
Quay,New Mexico,n/a,"8,662",R000000,R000003,http://www.quaycounty-nm.gov,Tucumcari,1903,2882,3
Rio Arriba,New Mexico,n/a,"40,072",0-000-000-000000,1-000-000-000866,http://www.rio-arriba.org,Tierra Amarilla,1852,5896,7
Roosevelt,New Mexico,"14,165","19,955",0000000000000000,100000000000055,http://www.rooseveltcounty.com/,Portales,1903,2455,8
Sandoval,New Mexico,"147,977","136,575",0000000 000 000,1000002 309 501,http://www.sandovalcountynm.gov/,Bernalillo,1903,3716,37
San Juan,New Mexico,"44,279","126,503",0000000,1000002,http://www.sjcounty.net/,Aztec,1887,5538,23
San Miguel,New Mexico,"10,274","28,541",00000,10220,http://www.smcounty.net,Las Vegas,1852,4736,6
Santa Fe,New Mexico,"77,802","147,423",0-000-000-000-000,1-042-080-025-095,http://www.santafecountynm.gov/,Santa Fe,1852,1911,77
Sierra,New Mexico,"15,650","11,572",0000000000000,3000100400000,http://www.sierracountynm.gov,Truth Or Consequences,1884,4236,3
Socorro,New Mexico,n/a,"17,584",R000000,R021244,http://www.socorrocounty.net/,Socorro,1852,6649,3
Taos,New Mexico,n/a,"33,035",00000,10004,http://www.taoscounty.org/,Taos,1852,2204,15
Torrance,New Mexico,"29,582","15,717",R000000000,R000001901,http://www.torrancecountynm.org,Estancia,1903,3346,5
Union,New Mexico,"27,679","4,370",0000000000000,1000001554002,http://www.unionnm.us/,Clayton,1903,3831,1
Valencia,New Mexico,"197,581","76,284",0-000-000-000-000-000000,1-000-000-000-000-023341,http://www.co.valencia.nm.us/,Los Lunas,1852,"1,068",71
