0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Churchill,Nevada,"13,984","24,063",No records found,No records found,http://www.churchillcounty.org,Fallon,1861,5024,5
Clark,Nevada,"831,303","2,027,868",000-00-000-000,100-01-000-001,http://www.ClarkCountyNV.gov,Las Vegas,1909,8061,252
Douglas,Nevada,"28,398","47,118",0000-00-000-000,1021-00-001-003,http://www.DouglasCountyNV.gov,Minden,1861,738,64
Elko,Nevada,"44,509","52,384",000-00K-000,101-35K-034,http://www.elkocountynv.net,Elko,1869,17203,3
Esmeralda,Nevada,n/a,832,000-000-00,101-081-04,http://www.accessesmeralda.com/,Goldfield,1861,3589,0
Eureka,Nevada,n/a,"2,076",000-000-00,111-000-05,http://www.co.eureka.nv.us,Eureka,1873,4180,1
Humboldt,Nevada,"17,617","17,363",0000000,1036106,http://www.hcnv.us,Winnemucca,1861,9658,2
Lander,Nevada,"6,860","6,032",No records found.,No records found.,http://www.landercountynv.org/,Battle Mountain,1862,5519,1
Lincoln,Nevada,"4,998","5,245",000-000-00,110-220-02,http://www.lincolncountynv.org,Pioche,1866,10637,0
Lyon,Nevada,"32,881","51,557",000-000-0,100-112-8,http://www.lyon-county.org,Yerington,1861,2024,25
Mineral,Nevada,"19,151","4,614",No records found.,No records found.,http://www.mineralcountynv.us/,Hawthorne,1911,3813,1
Nye,Nevada,"59,944","42,297",00-000-00,10-011-01,http://www.nyecounty.net,Tonopah,1864,18199,2
Pershing,Nevada,"12,405","6,877",0000000,1040010,http://www.pershingcounty.net,Lovelock,1919,6067,1
Storey,Nevada,"4,884","3,942",No records found.,No records found.,http://www.storeycounty.org,Virginia City,1861,264,15
Washoe,Nevada,"175,571","433,731",000-000-00,122-051-01,http://www.washoecounty.us,Reno,1861,6542,66
White Pine,Nevada,"7,854","10,057",0000000,1029034,http://www.whitepinecounty.net,Ely,1869,8897,1
"Carson City, Consolidated Municipality of",Nevada,n/a,"54,080",000-000-00,104-551-60,,,,,
