0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Albany,New York,"111,974","306,945",00000 -000- -000 – 00-00 -000 – 0,10100 -065- -007 – 00-01 -008 – 0,http://www.albanycounty.com/,Albany,1683,533,576
Allegany,New York,"34,524","48,109",No records found,No records found,http://www.alleganyco.com,Belmont,1806,1806,47
Bronx,New York,"89,685","1,418,733",00000-0000,10269-0390,,,,,
Broome,New York,"85,505","197,534",No records found,No records found,http://www.gobroomecounty.com/legis/,Binghamton,1806,716,276
Cattaraugus,New York,"49,983","78,892",No records found,No records found,http://www.cattco.org,Little Valley,1808,1322,60
Cayuga,New York,"38,666","79,477",No records found,No records found,http://www.co.cayuga.ny.us,Auburn,1799,864,92
Chautauqua,New York,"89,360","133,080",No records found,No records found,http://www.co.chautauqua.ny.us,Mayville,1808,1500,89
Chemung,New York,"39,856","88,506",No records found,No records found,http://www.chemungcounty.com,Elmira,1836,411,215
Chenango,New York,"33,967","49,503",No records found,No records found,http://www.co.chenango.ny.us,Norwich,1798,899,55
Clinton,New York,"37,939","81,591",No records found,No records found,http://www.clintoncountygov.com/,Plattsburgh,1788,1118,73
Columbia,New York,"38,869","62,243",000000-000- -000 – 00-00 -000- 0,100600-100- -045 – 00-02 -077 – 0,http://www.columbiacountyny.com/,Hudson,1786,648,96
Cortland,New York,"21,876","48,976",000000-000-000-0000-000-000-0000,110200-076-081-0001-005-000-0000,http://www.cortland-co.org,Cortland,1808,502,98
Delaware,New York,"42,867","46,722",000000-000-000-0000-000-000,122000-001-000-0020-030-000,http://www.co.delaware.ny.us,Delhi,1797,1467,32
Dutchess,New York,"109,486","296,916",000000-0000-00-000000-0000,130200-3089-54-000000-2672,http://www.dutchessny.gov,Poughkeepsie,1683,825,360
Erie,New York,"358,051","919,866",000000-000-000-0000-000-000,140200-038-170-0002-007-000,http://www.erie.gov/,Buffalo,1821,1227,750
Essex,New York,"35,915","38,762",000000-000-000-0000-000-000-0000,152000-001-003-0001-001-000-0000,http://www.co.essex.ny.us,Elizabethtown,1799,1916,20
Franklin,New York,"30,888","51,688",000000-000-000-0000-000-000-0000,162001-480-050-0001-001-000-0000,http://www.franklincony.org,Malone,1808,1697,30
Fulton,New York,"33,047","54,586",000000-000-000-0000-000-000-0000,170500-118-020-0001-001-000-0000,http://www.fultoncountyny.gov/,Johnstown,1838,533,102
Genesee,New York,"28,803","59,454",000000-000-000-0000-000-000,180200-071-013-0003-001-012,http://www.co.genesee.ny.us/,Batavia,1802,495,120
Greene,New York,"38,686","48,455",000000-000-000-0000-000-000-0000,192000-044-000-0002-004-000-0000,http://www.greenegovernment.com/,Catskill,1800,658,74
Hamilton,New York,"13,011","4,773",No records found,No records found,http://www.hamiltoncounty.com/,Lake Pleasant,1816,1808,3
Herkimer,New York,"41,911","64,181",No records found,No records found,http://www.herkimercounty.org,Herkimer,1791,1458,44
Jefferson,New York,"48,233","119,504",000000-000-000-0000-000-0,120000-020-001-0100-000-1,http://www.co.jefferson.ny.us/,Watertown,1805,1857,64
Kings,New York,"276,909","2,592,149",County Not Found on Realquest,County Not Found on Realquest,http://www.countyofkings.com,Hanford,1893,1392,108
Lewis,New York,"25,754","27,149",No records found,No records found,http://www.lewiscountyny.org,Lowville,1805,1290,21
Livingston,New York,"28,328","64,705",No records found,No records found,http://www.co.livingston.state.ny.us,Geneseo,1821,640,101
Madison,New York,"47,263","72,382",No records found,No records found,https://www.madisoncounty.ny.gov/,Wampsville,1806,661,109
Monroe,New York,"264,299","749,606",No records found,No records found,http://www.monroecounty.gov,Rochester,1821,1367,548
Montgomery,New York,"73,307","49,897",No records found,No records found,http://www.co.montgomery.ny.us,Fonda,1772,410,122
Nassau,New York,"407,636","1,352,146",0000-00-000-00-0000-0,1000-13-000-00-0056-0,http://www.nassaucountyny.gov,Mineola,1899,453,2983
New York,New York,"42,686","1,626,159",County Not Found on Realquest,County Not Found on Realquest,http://www.NYC.GOV,New York City,1683,468,17943
Niagara,New York,"93,520","214,249",0000,1100,http://www.niagaracounty.com/,Lockport,1808,1140,188
Oneida,New York,"114,683","233,585",000000-000-000-0000-000-000,160031-804-200-0102-500-000,http://www.ocgov.net/,Utica,1798,1258,186
Onondaga,New York,"178,988","468,387",No records found,No records found,http://www.ongov.net,Syracuse,1794,806,581
Ontario,New York,"49,052","109,103",No records found,No records found,http://www.co.ontario.ny.us/,Canandaigua,1789,663,165
Orange,New York,"128,102","375,592",000000-000-000-0000-000.00,110000-000-000-0000-000.00,http://www.co.orange.ny.us/,Goshen,1683,839,448
Orleans,New York,"20,544","42,235",No records found,No records found,http://www.orleansny.com/,Albion,1824,817,52
Oswego,New York,"58,797","121,165",No records found,No records found,http://www.co.oswego.ny.us,Oswego,1816,1312,92
Otsego,New York,"39,187","61,683",No records found,No records found,http://www.otsegocounty.com/,Cooperstown,1791,1016,61
Putnam,New York,"42,656","99,645",No records found,No records found,http://www.putnamcountyny.com/,Carmel,1812,246,405
Queens,New York,"324,168","2,296,175",00000-0000,10000-0001,did not match any county,,,,
Rensselaer,New York,"66,792","159,918",000.00-0-00,101.22-3-17,http://www.rensco.com,Troy,1791,665,240
Richmond,New York,"123,789","472,621",County Not Found on Realquest,County Not Found on Realquest,,,,,
Rockland,New York,"90,022","320,903",No records found,No records found,http://www.co.rockland.ny.us,New City,1798,199,1610
St. Lawrence,New York,"70,489","111,963",No records found,No records found,http://www.co.st-lawrence.ny.us/,Canton,1802,2821,40
Saratoga,New York,"98,179","223,865",No records found,No records found,http://www.saratogacountyny.gov/,Ballston Spa,1791,844,265
Schenectady,New York,"59,511","155,333",000000-000-000-0000-000-000,150004-905-900-0400-500-000,http://www.schenectadycounty.com,Schenectady,1809,209,742
Schoharie,New York,"22,850","31,844",No records found,No records found,http://www.schohariecounty-ny.gov,Schoharie,1795,626,51
Schuyler,New York,"12,760","18,460",No records found,No records found,http://www.schuylercounty.us/,Watkins Glen,1854,342,54
Seneca,New York,"53,553","35,409",No records found,No records found,http://www.co.seneca.ny.us/,Waterloo,1804,390,91
Steuben,New York,"59,162","98,650",No records found,No records found,http://www.steubencony.org/,Bath,1796,"1,404",70
Suffolk,New York,"194,118","1,499,738",0000- 0-00-.0-00-0.0-000-0 000,1000- 0-79-.0-00-2.0-000-0 009,http://www.suffolkcountyny.gov/,Riverhead,1683,"2,373",632
Sullivan,New York,"43,068","76,665",00-000-0-0-000-00-000,18-002-0-0-000-01-018,http://co.sullivan.ny.us/,Monticello,1809,997,77
Tioga,New York,"25,639","50,243",No records found,No records found,http://www.tiogacountyny.com/,Owego,1791,523,96
Tompkins,New York,"34,330","103,617",No records found,No records found,http://tompkinscountyny.gov/,Ithaca,1817,492,211
Ulster,New York,"86,397","180,998",0000-000.–.,1312-220.–.,http://www.co.ulster.ny.us/,Kingston,1683,"1,161",156
Warren,New York,"45,786","65,337",No records found,No records found,http://www.co.warren.ny.us,Queensbury,1813,932,70
Washington,New York,"34,773","63,093",No records found,No records found,http://www.co.washington.ny.us,Fort Edward,1772,846,75
Wayne,New York,"768,030","92,473",No records found,No records found,http://www.co.wayne.ny.us,Lyons,1823,"1,383",67
Westchester,New York,"251,745","968,802",0000-000-000-00000-000-0000,1000-000-001-00001-000-0004,http://www3.westchestergov.com/,White Plains,1683,500,1938
Wyoming,New York,"46,078","41,531",No records found,No records found,http://www.wyomingco.net,Warsaw,1841,596,70
Yates,New York,n/a,"25,156",No records found,No records found,http://www.yatescounty.org,Penn Yan,1823,376,67
