0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adams,Ohio,"20,916","28,105",000-00-00-000.000,100-00-00-001.000,http://www.adamscountyoh.com/,West Union,1797,586,48
Allen,Ohio,"52,752","105,298",00-00-00-00-000.000,10-01-40-00-202.000,http://www.co.allen.oh.us/,Lima,1820,407,259
Ashland,Ohio,"32,823","53,043",000-000-0-0000-0,121-080-0-0360-0,http://www.ashlandcounty.org,Ashland,1846,427,124
Ashtabula,Ohio,"75,893","99,811",00-000-00-000-00,10-018-00-017-00,http://www.co.ashtabula.oh.us,Jefferson,1807,"1,368",73
Athens,Ohio,"42,088","64,681",No records found,No records found,http://www.co.athensoh.org/,Athens,1805,508,127
Auglaize,Ohio,"28,276","45,920",No records found,No records found,http://www2.auglaizecounty.org/,Wapakoneta,1848,402,114
Belmont,Ohio,"65,069","69,571",00-00000-000,10-00001-000,http://www.belcc.com/,Saint Clairsville,1801,541,129
Brown,Ohio,"35,201","44,264",00- 00-0000,10- 00-9132,http://www.browncountyohio.gov/,Georgetown,1817,493,90
Butler,Ohio,"162,388","371,272",No records found,No records found,http://www.butlercountyohio.org/,Hamilton,1803,470,790
Carroll,Ohio,"27,795","28,275",00,10,http://www.carrollcountyohio.us,Carrollton,1832,399,71
Champaign,Ohio,"28,928","39,455",00 – – 0-00-00- 00.,10 – – 0-00-00- 47.,http://www.co.champaign.oh.us,Urbana,1805,430,92
Clark,Ohio,"66,036","136,167",00- 0-0000 -000000,10- 0-0005 -000000,http://www.clarkcountyohio.gov,Springfield,1817,403,338
Clermont,Ohio,"95,478","200,218",00-00-00.-000A,10-04-04.-023A,http://www.clermontcountyohio.gov/,Batavia,1800,460,435
Clinton,Ohio,"26,800","41,945",00 0000000,10 0010685,http://co.clinton.oh.us/,Wilmington,1810,412,102
Columbiana,Ohio,"77,589","105,893",0000000000,1000550000,http://www.columbianacounty.org,Lisbon,1803,535,198
Coshocton,Ohio,"27,334","36,760",00000-000-000-00,10102-501-050-00,http://www.coshoctoncounty.net/,Coshocton,1811,567,65
Crawford,Ohio,"33,330","42,808",00-0000000.000,10-0001496.000,http://www.crawford-co.org,Bucyrus,1820,403,106
Cuyahoga,Ohio,"502,539","1,263,154",000-00-000,101-01-001,http://www.cuyahogacounty.us,Cleveland,1808,"1,246",1014
Darke,Ohio,"30,453","52,376",D00-0-000-00-00-00-00100,D81-0-210-15-00-00-40100,http://www.co.darke.oh.us/,Greenville,1809,600,87
Defiance,Ohio,"26,272","38,532",000-0000-A-000-00,113-0010-A-241-00,http://www.defiance-county.com,Defiance,1845,414,93
Delaware,Ohio,"104,415","184,979",000-000-00-000-000,100-100-00-000-251,http://www.co.delaware.oh.us/,Delaware,1808,457,404
Erie,Ohio,"46,566","76,048",00- –,10- –,http://www.eriecounty.oh.gov/,Sandusky,1838,626,121
Fairfield,Ohio,"70,611","148,867",00-00000-000,11-30035-600,http://www.co.fairfield.oh.us,Lancaster,1800,509,293
Fayette,Ohio,"17,742","28,800",000- – – –,100- – – –,http://www.fayette-co-oh.com/,Washington Court House,1810,407,71
Franklin,Ohio,"431,242","1,212,263",0 –,1 –,http://www.co.franklin.oh.us/,Columbus,1803,544,2230
Fulton,Ohio,"23,301","42,488",00- – .,10- – .,http://www.fultoncountyoh.com/,Wauseon,1850,407,104
Gallia,Ohio,"26,329","30,621",No records found,No records found,http://www.gallianet.net/,Gallipolis,1803,471,65
Geauga,Ohio,"50,725","93,972",00-000000,10-000400,http://www.co.geauga.oh.us,Chardon,1805,408,230
Greene,Ohio,"(73,648","163,204",No records found,No records found,http://www.co.greene.oh.us/,Xenia,1803,416,392
Guernsey,Ohio,"43,309","39,636",00-00000.000,10-00001.000,http://www.guernseycounty.org,Cambridge,1810,528,75
Hamilton,Ohio,"419,063","804,520",000-0000-0000-00,100-0001-0001-00,http://www.hamilton-co.org,Cincinnati,1790,413,1950
Hancock,Ohio,"38,432","75,773",00-0000000000,10-0000021400,http://www.co.hancock.oh.us/,Findlay,1820,534,142
Hardin,Ohio,"24,647","31,641",00-000000.0000,10-130015.0000,http://www.hardincountyoh.com/,Kenton,1820,471,67
