0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adair,Oklahoma,"13,221","22,194",0000-00-000-000-0-000-00,1234-78-912-356-4-567-89,N/A,Stilwell,1907,577,38
Alfalfa,Oklahoma,"8,160","5,847",No records found,No records found,N/A,Cherokee,1907,881,7
Atoka,Oklahoma,"13,181","13,898",0000-00-000-000-0-000-00,1001-00-001-001-0-000-00,N/A,Atoka,1907,990,14
Beaver,Oklahoma,"8,029","5,566",No records found,No records found,http://beaver.okcounties.org/,Beaver,1890,"1,818",3
Beckham,Oklahoma,"16,864","23,637",No records found,No records found,http://beckham.okcounties.org,Sayre,1907,904,26
Blaine,Oklahoma,"11,734","9,720",No records found,No records found,http://blaine.okcounties.org,Watonga,1895,939,10
Bryan,Oklahoma,"27,739","44,244",0000-00-00S-00E-0-000-00,1111-24-07S-08E-2-001-01,N/A,Durant,1907,944,47
Caddo,Oklahoma,"23,502","29,594",0000-00-000-000-0-000-00,1000-27-001-001-4-002-00,N/A,Anadarko,1891,"1,290",23
Canadian,Oklahoma,"63,491","126,123",No records found,No records found,http://www.canadiancounty.org,El Reno,1890,906,139
Carter,Oklahoma,"31,130","48,491",0000-00-000-000-0-000-00,1005-00-001-001-0-001-00,http://cartercountyok.us/,Ardmore,1907,834,58
Cherokee,Oklahoma,"29,582","48,017",0000-00-000-000-0-000-00,1005-00-001-001-0-000-00,N/A,Tahlequah,1907,776,62
Choctaw,Oklahoma,"13,975","15,045",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Hugo,1907,800,19
Cimarron,Oklahoma,n/a,"2,335",No records found,No records found,N/A,Boise City,1907,"1,841",1
Cleveland,Oklahoma,"105,285","269,340",No records found,No records found,http://www.ccok.us/,Norman,1890,558,483
Coal,Oklahoma,"7,835","5,867",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Coalgate,1907,521,11
Comanche,Oklahoma,"54,235","124,937",000000000,160032804,http://www.comanchecounty.us,Lawton,1907,"1,084",115
Cotton,Oklahoma,"7,517","6,152",No records found,No records found,N/A,Walters,1912,642,10
Craig,Oklahoma,"10,968","14,672",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Vinita,1907,763,19
Creek,Oklahoma,"43,421","70,470",0000-00-000-000-0-000-00,1000-00-001-000-0-010-00,http://www.creekcountyonline.com/,Sapulpa,1907,970,73
Custer,Oklahoma,"18,260","29,377",0000-00-000-000-0-000-00,1000-00-001-001-0-000-00,N/A,Arapaho,1891,"1,002",29
Delaware,Oklahoma,"62,595","41,377",No records found,No records found,N/A,Jay,1907,792,52
Dewey,Oklahoma,"8,092","4,844",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Taloga,1892,"1,008",5
Ellis,Oklahoma,"7,958","4,170",No records found,No records found,N/A,Arnett,1907,"1,232",3
Garfield,Oklahoma,"34,761","62,267",0000-00-000-000-0-000-00,1010-00-001-001-0-001-00,N/A,Enid,1895,"1,060",59
Garvin,Oklahoma,"21,377","27,334",0000-00-000-000-0-000-00,1000-00-001-001-0-000-00,N/A,Pauls Valley,1907,814,34
Grady,Oklahoma,"33,518","53,685",No records found,No records found,http://www.gradycountyok.com/,Chickasha,1907,"1,105",49
Grant,Oklahoma,"5,216","4,528",No records found,No records found,http://www.grantcountyok.com/,Medford,1895,"1,004",5
Greer,Oklahoma,"6,724","6,171",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,http://greer.okcounties.org,Mangum,1890,644,10
Harmon,Oklahoma,"4,864","2,869",No records found,No records found,N/A,Hollis,1909,539,5
Harper,Oklahoma,"6,847","3,813",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Buffalo,1905,"1,041",4
Haskell,Oklahoma,"12,296","13,052",0000-00-000-000-0-000-00,1001-00-001-001-0-000-00,N/A,Stigler,1907,625,21
Hughes,Oklahoma,"12,598","13,823",No records found,No records found,N/A,Holdenville,1907,815,17
Jackson,Oklahoma,"19,446","26,088",No records found,No records found,http://www.jacksoncountyok.com,Altus,1907,804,32
Jefferson,Oklahoma,"7,678","6,432",No records found,No records found,N/A,Waurika,1907,774,8
Johnston,Oklahoma,"10,734","10,990",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Tishomingo,1907,658,17
Kay,Oklahoma,"30,278","45,633",0000-00-000-000-0-000-00,1000-00-000-000-0-000-00,http://www.courthouse.kay.ok.us/home.html,Newkirk,1895,945,48
Kingfisher,Oklahoma,"6,423","15,276",0000-00-000-000-0-000-00,1005-00-001-001-0-000-00,N/A,Kingfisher,1890,906,17
Kiowa,Oklahoma,"12,605","9,341",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Hobart,1891,"1,031",9
Latimer,Oklahoma,"11,090","10,775",0000-00-000-000-0-000-00,1001-00-001-001-0-000-00,N/A,Wilburton,1907,729,15
Le Flore,Oklahoma,"36,936","49,774",No records found,No records found,N/A,Poteau,1907,"1,609",31
Lincoln,Oklahoma,"24,827","34,351",0000-00-000-000-0-000-00,1000-00-005-005-0-000-00,N/A,Chandler,1891,966,36
Logan,Oklahoma,"28,595","44,422",0000000,1839121,http://www.logancounty-ok.org/,Guthrie,1891,749,59
Love,Oklahoma,"11,418","9,742",0000-00-000-000-0-000-00,1040-00-001-001-0-000-00,http://love.okcounties.org,Marietta,1907,532,18
McClain,Oklahoma,"22,677","36,511",No records found,No records found,N/A,Purcell,1907,580,63
McCurtain,Oklahoma,"30,036","33,065",0000-00-000-000-0-000-00,1001-00-001-001-0-000-00,N/A,Idabel,1907,"1,902",17
McIntosh,Oklahoma,"28,160","20,493",0000-00-000-000-0-000-00,1001-00-001-001-0-000-00,N/A,Eufaula,1907,712,29
Major,Oklahoma,"8,743","7,683",No records found,No records found,N/A,Fairview,1909,958,8
Marshall,Oklahoma,"16,460","15,988",No records found,No records found,http://marshall.okcounties.org,Madill,1907,427,37
Mayes,Oklahoma,"27,379","40,804",0 – – – – – –,1 – – – – – –,http://mayes.okcounties.org,Pryor,1907,684,60
Murray,Oklahoma,"13,548","13,712",0000-00-000-000-0-000-00,1001-00-001-001-0-001-00,N/A,Sulphur,1907,425,32
Muskogee,Oklahoma,"21,211","70,303",0,1,http://www.cityofmuskogee.com/,Muskogee,1907,840,84
Noble,Oklahoma,"10,327","11,446",0000-00-000-000-0-000-00,1000-00-001-005-0-001-00,http://www.noblecountyok.com/,Perry,1897,743,15
