0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Anderson,Tennessee,"35,160","75,542",000-000.00,100-001.00,http://www.andersontn.org,Clinton,1801,345,219
Bedford,Tennessee,"21,572","45,901",000-000.00,100-001.00,http://www.bedfordcountytn.org/,Shelbyville,1807,475,97
Benton,Tennessee,"16,227","16,290",00-0-00.,10-0-57.,http://bentoncountytn.gov/,Camden,1835,436,37
Bledsoe,Tennessee,"10,644","12,841",000-000.00,100-001.00,n/a,Pikeville,1807,407,32
Blount,Tennessee,"63,030","125,099",000-000.00,100-002.00,http://www.blounttn.org,Maryville,1795,567,221
Bradley,Tennessee,"46,579","101,848",000-000.00,100-001.00,http://www.bradleyco.net/,Cleveland,1836,331,307
Campbell,Tennessee,"27,656","40,238",000-000.00,100-001.00,http://www.campbellcountytn.gov,Jacksboro,1806,498,81
Cannon,Tennessee,"7,765","13,775",00-0-00.,10-0-22.,http://www.cannontn.com,Woodbury,1836,266,52
Carroll,Tennessee,"19,051","28,513",000-000.00,100-001.00,n/a,Huntingdon,1821,600,48
Carter,Tennessee,"31,196","57,338",000-000.00,100-001.00,http://www.cartercountytn.gov/,Elizabethton,1796,348,165
Cheatham,Tennessee,"20,194","39,492",000-000.00,100-001.00,http://www.cheathamcountytn.gov/,Ashland City,1856,307,129
Chester,Tennessee,"9,596","17,321",00-0-00.,10-0-83.,http://chestercountytn.org,Henderson,1879,286,61
Claiborne,Tennessee,"22,086","31,560",000-000.00,100-001.00,N/A,Tazewell,1801,442,71
Clay,Tennessee,"6,493","7,774",000-000.00,104-052.00,N/A,Celina,1870,259,30
Cocke,Tennessee,"24,613","35,479",00-0-00.,10-1-23.,http://www.cockecounty.net/,Newport,1797,443,80
Coffee,Tennessee,"29,910","53,357",000-000.00,100-001.00,http://www.coffeecountytn.org/,Manchester,1836,435,123
Crockett,Tennessee,"9,813","14,591",00-000-.-000-00000,10-037-.-037-03300,N/A,Alamo,1871,266,55
Cumberland,Tennessee,"65,175","57,466",000-000.00,100-001.00,http://cumberlandcountytn.gov/,Crossville,1855,685,84
Davidson,Tennessee,"247,773","658,602",000-00-0-000,100-00-0-001,http://www.nashville.gov/,Nashville,1783,526,1252
Decatur,Tennessee,"13,677","11,661",00-0-00.,10-1-05.,http://www.decaturcountytn.org,Decaturville,1845,345,34
DeKalb,Tennessee,"17,531","19,164",000-000.00,100-001.00,http://www.dekalbtennessee.com/,Smithville,1837,329,58
Dickson,Tennessee,"25,334","50,266",00-0PD-00-000-00,10-2PD-02-512-00,http://www.dicksoncountytn.gov/,Charlotte,1803,491,102
Dyer,Tennessee,"21,321","38,213",00-0-00.,10-0-86.,http://www.co.dyer.tn.us/,Dyersburg,1823,527,73
Fayette,Tennessee,"23,309","38,690",00-0-00.,10-1-84.,http://www.fayettetn.us/,Somerville,1824,706,55
Fentress,Tennessee,"15,477","17,909",00-0-00-0000-00,10-1-00-2000-00,N/A,Jamestown,1823,499,36
Franklin,Tennessee,"24,450","41,129",00-0-00.,10-0-98.,http://www.franklincotn.us/,Winchester,1807,576,71
Gibson,Tennessee,"29,710","49,457",000-000.00,100-001.01,http://www.gibsoncountytn.com,Trenton,1823,604,82
Giles,Tennessee,"18,086","28,746",000-000.00,100-001.00,http://www.gilescounty-tn.us/,Pulaski,1809,611,47
Grainger,Tennessee,"(14,742","22,702",000-000.00,100-001.00,http://www.graingertn.com,Rutledge,"1,796",302,75
Greene,Tennessee,"42,084","68,267",000-000.00,100-001.00,http://www.greenecountytngovt.com/,Greeneville,"1,783",624,109
Grundy,Tennessee,"10,897","13,498",000-000.00,100-001.00,http://www.grundycountytn.net/,Altamont,1844,361,37
Hamblen,Tennessee,"29,928","63,074",000B-C-000.00,103B-C-036.00,http://www.hamblencountygovernment.us/,Morristown,1870,176,359
Hamilton,Tennessee,"154,084","348,673",000-000,100-001,http://www.hamiltonTN.gov,Chattanooga,1819,576,605
Hancock,Tennessee,"5,906","6,679",00-0-00.,10-0-45.,http://www.hancockcountytn.com/,Sneedville,1844,223,30
Hardeman,Tennessee,"19,835","26,306",000-000.00,100-001.00,http://www.hardemancotn.org,Bolivar,1823,670,39
Hardin,Tennessee,"26,698","26,034",00-0-00.,10-0-30.,N/A,Savannah,1819,596,44
Hawkins,Tennessee,"35,474","56,800",000-000.00,100-001.00,http://www.hawkinscountytn.gov/,Rogersville,1786,500,114
Haywood,Tennessee,"11,158","18,224",00-0-00.,10-0-07.,http://www.haywoodcountybrownsville.com/,Brownsville,1823,534,34
Henderson,Tennessee,"17,009","28,048",000-000.00,100-001.00,N/A,Lexington,1821,526,53
Henry,Tennessee,"25,334","32,210",000-000.00,100-001.00,http://www.henryco.com,Paris,1821,593,54
