0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Anderson,Texas,"46,698","57,938",0000000000000000,1223200011400700,http://www.andersontn.org,Clinton,1801,345,219
Andrews,Texas,"9,968","16,799",000000000000,000000008949,http://www.co.andrews.tx.us,Andrews,1876,"1,501",11
Angelina,Texas,"58,930","87,441",000000,120644,http://www.angelinacounty.net/,Lufkin,1846,865,101
Aransas,Texas,"24,693","24,356",R00000,R15119,http://www.aransascounty.org/,Rockport,1871,528,46
Archer,Texas,"17,490","8,681",00000-00000-00000-000000,10000-00100-00100-000000,http://www.co.archer.tx.us,Archer City,1858,925,9
Armstrong,Texas,n/a,"1,949",0000,1003,http://www.co.armstrong.tx.us,Claude,1876,914,2
Atascosa,Texas,"30,365","47,093",R00000000,R20508684,http://atascosacountytexas.net/,Jourdanton,1856,"1,221",39
Austin,Texas,"21,833","28,847",no records found,no records found,http://www.austincounty.com,Bellville,1836,656,44
Bailey,Texas,n/a,"7,114",no records found,no records found,http://www.co.bailey.tx.us,Muleshoe,1876,827,9
Bandera,Texas,"31,594","20,601",00000000000000,10200140030020,http://www.banderacounty.org,Bandera,1856,798,26
Bastrop,Texas,"52,467","75,825",000000,102708,http://www.co.bastrop.tx.us,Bastrop,1836,896,85
Baylor,Texas,n/a,"3,614",00000,20619,http://www.baylorcountytexas.com/,Seymour,1858,901,4
Bee,Texas,"19,253","32,799",0,1,http://www.co.bee.tx.us,Beeville,1857,880,37
Bell,Texas,"141,333","326,843",000000,100000,http://www.bellcountytx.com/,Belton,1850,"1,088",300
Bexar,Texas,"600,578","1,817,610",00000-000-0000,10000-001-0010,http://www.bexar.org/,San Antonio,1835,"1,256",1447
Blanco,Texas,"11,927","10,723",00000,19365,http://www.co.blanco.tx.us,Johnson City,1858,713,15
Borden,Texas,n/a,637,no records found,no records found,http://www.co.borden.tx.us,Gail,1876,906,1
Bosque,Texas,"13,527","17,855",R00000,R02200,http://www.bosquecounty.us,Meridian,1854,"1,003",18
Bowie,Texas,"53,065","93,487",00000000000,10000000300,http://www.co.bowie.tx.us,New Boston,1840,923,101
Brazoria,Texas,"255,964","330,242",0000-0000-000,1000-0123-000,http://www.brazoria-county.com,Angleton,1836,"1,609",205
