0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Beaver,Utah,"8,505","6,459",00000000,12325369,http://beaver.utah.gov/,Beaver,1856,"2,592",2
Box Elder,Utah,"45,533","50,794",00-000-0000,10-059-0086,http://www.boxeldercounty.org,Brigham City,1856,"6,729",8
Cache,Utah,"48,813","116,909",00-000-0000,10-001-0001,http://www.cachecounty.org,Logan,1857,"1,173",100
Carbon,Utah,"23,675","20,988",00-0000-0000,10-0083-0000,http://www.carbon.utah.gov/,Price,1894,"1,485",14
Daggett,Utah,"3,017","1,127",No records found,No records found,http://www.daggettcounty.org/,Manila,1919,721,2
Davis,Utah,"112,363","322,094",00-000-0000,10-001-0001,http://www.co.davis.ut.us/,Farmington,1850,634,508
Duchesne,Utah,"30,979","20,308",00-0000-0000,00-0004-8169,http://duchesne.utah.gov/,Duchesne,1913,"3,256",6
Emery,Utah,"13,400","10,749",0-0-00,1-1-11,http://www.co.emery.ut.us/,Castle Dale,"1,880","4,472",2
Garfield,Utah,"16,564","5,083",00-0000-0000,10-0016-0001,http://garfield.utah.gov/,Panguitch,1882,"5,208",1
Grand,Utah,"9,787","9,360",00-0000-0000,10-0019-0011,http://www.grandcountyutah.net/,Moab,"1,890","3,684",3
Iron,Utah,"54,541","46,780",00-000-00,12-090-00,http://www.ironcounty.net,Parowan,1850,"3,301",14
Juab,Utah,"15,857","10,348",000000,100029,http://www.co.juab.ut.us/,Nephi,"1,852","3,406",3
Kane,Utah,"20,933","7,260",0000000,0038425,http://kane.utah.gov/,Kanab,1864,"4,109",2
Millard,Utah,"32,394","12,662",00000,10000,http://www.millardcounty.org/,Fillmore,1851,"6,828",2
Morgan,Utah,"5,667","10,173",No records found,No records found,http://www.morgan-county.net/,Morgan,"1,862",611,17
Piute,Utah,"2,834","1,510",No records found,No records found,http://www.piutecounty.org/,Junction,"1,865",766,2
Rich,Utah,"10,667","2,288",00-00-00-000,10-04-00-001,http://richcountyut.org/,Randolph,1864,"1,086",2
Salt Lake,Utah,"378,201","1,079,721",00-00-000-000-0000,10-02-300-001-0000,http://www.co.slc.ut.us,Salt Lake City,1849,807,1337
San Juan,Utah,"10,521","14,973",No records found,No records found,http://www.sanjuancounty.org/,Monticello,1880,"7,933",2
Sanpete,Utah,"12,066","28,237",0,1,http://sanpete.com/,Manti,"1,849","1,603",18
Sevier,Utah,"4,092","20,852",0-0-0,1-1-1,http://www.sevierutah.net/,Richfield,1865,"1,918",11
Summit,Utah,"40,042","38,486",0 000,1 202,http://www.summitcounty.org/,Coalville,"1,854","1,882",20
Tooele,Utah,"27,921","60,762",00-000-0-0000,10-001-3-0100,http://www.co.tooele.ut.us/,Tooele,"1,849","7,286",8
Uintah,Utah,"23,159","35,555",00-000-0000,10-015-0001,http://www.co.uintah.ut.us/,Vernal,1880,"4,501",8
Utah,Utah,"210,065","551,891",00-000-0000,10-002-0001,http://www.co.utah.ut.us/,Provo,1849,"2,144",257
Wasatch,Utah,"24,056","26,437",00-0000-0000,10-2103-3034,https://www.wasatch.utah.gov/,Heber City,1862,"1,206",22
Washington,Utah,"94,101","147,800",0000000,1426983,http://www.washco.utah.gov/,St. George,1852,"2,430",61
Wayne,Utah,"4,947","2,747",No records found,No records found,http://www.waynecnty.com/,Loa,1892,"2,466",1
Weber,Utah,"103,568","238,519",00-000-0000,10-001-0001,http://www.co.weber.ut.us,Ogden,"1,849",659,362
