0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Accomack,Virginia,"48,235","33,148",000-00-00-00-A000-00,100-00-01-00-A000-00,http://www.co.accomack.va.us,Accomac,1663,"1,310",25
Albemarle,Virginia,"43,500","103,000",00000-00-00-00000,10000-00-00-00100,http://www.albemarle.org,Charlottesville,1744,726,142
Alleghany,Virginia,"18,549","16,161",00000-0A-000-0000,10200-0A-000-0010,http://www.co.alleghany.va.us,Covington,1822,449,36
Amelia,Virginia,"11,313","12,745",0-0,1-1,http://www.ameliava.com,Amelia Court House,1734,359,36
Amherst,Virginia,"25,043","32,178",0-A-0,1-A-1,http://www.countyofamherst.com,Amherst,1761,479,67
Appomattox,Virginia,"13,469","15,255",00(A)-0,10(A)-1,http://www.appomattoxcountyva.gov/,Appomattox,1845,335,46
Arlington,Virginia,"38,448","224,906",00-000-000,10-001-001,http://www.arlingtonva.us/,Arlington,1801,26,8628
Augusta,Virginia,"41,634","73,912",000-00,101-10,http://www.co.augusta.va.us,Staunton,1745,971,76
Bath,Virginia,"6,619","4,616",0-0,1-2,http://www.bathcountyva.org,Warm Springs,1790,535,9
Bedford,Virginia,"4,326","75,773",0000,1000,http://www.co.bedford.va.us,Bedford,1753,769,91
Bland,Virginia,"7,213","6,735",00-000-000,10-140-802,http://www.bland.org,Bland,1861,359,19
Botetourt,Virginia,"22,498","33,002",0(0)0,1(1)1,http://www.co.botetourt.va.us,Fincastle,1770,546,60
Brunswick,Virginia,"22,430","16,973",0-0-0,1-1-6,http://www.brunswickco.com,Lawrenceville,1732,569,30
Buchanan,Virginia,"39,473","23,597",0,1,http://www.buchanancountyinfo.org/,Grundy,1858,504,47
Buckingham,Virginia,"13,319","17,136",0-0-0-0-0,1-0-0-1-0,http://www.buckinghamcountyva.org/,Buckingham,1785,584,29
