0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Addison,Vermont,"15,325","36,791",0.0-0-,1.1-5 –,n/a,Middlebury,"1,785",808,46
Bennington,Vermont,"23,604","36,659",000-000-00,100-051-50,https://www.bennington.com/government/,Bennington and Manchester,1779,678,54
Caledonia,Vermont,"19,396","31,157",00 -00 -F,10 -29 -F,n/a,Saint Johnsbury,1792,658,47
Chittenden,Vermont,"53,576","159,515",000-000-000R,100-200-020R,n/a,Burlington,1787,619,258
Essex,Vermont,"5,090","6,211",00-00-,10 -25 –,n/a,Guildhall,1792,675,9
Franklin,Vermont,"24,705","48,294",0 0-0 0-00R0,1 0-2 0-41R2,n/a,Saint Albans,"1,792",692,70
Grand Isle,Vermont,"6,991","6,987",0 0-0 0-00CAS,1 0-1 0-08CAS,http://www.grandislevt.org/,North Hero,1802,195,36
Lamoille,Vermont,"14,411","25,067",00 -00-0000,10 -01 -7801,n/a,Hyde Park,1835,464,54
Orange,Vermont,"19,702","28,915",0 A- 00-R0,1 A- 25-R1,n/a,Chelsea,1781,692,42
Orleans,Vermont,"20,070","27,169",0-000,1-143,n/a,Newport,1792,721,38
Rutland,Vermont,"31,299","60,622",000-000-0,100-000-4,n/a,Rutland,1781,945,67
Washington,Vermont,"31,856","59,319",00/-000-00,10/-019-00,n/a,Montpelier,"1,810",695,85
Windham,Vermont,"34,133","43,857",0-0-.0 –,1-1-.1 –,n/a,Newfane,1779,798,55
Windsor,Vermont,"38,461","56,067",00 -0 0-,10 -3 8-,N/A,Woodstock,1781,977,57
