0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Adams,Wisconsin,39550,"20,480",0 0 – 0 0 0 – 0 0 0 0,1 0 – 1 7 3 – 0 0 0 0,http://www.co.adams.wi.gov/,Friendship,1848,689,30
Ashland,Wisconsin,28151,"16,016",0-0000-000,1-2004-360,http://www.co.ashland.wi.us,Ashland,1860,"2,292",7
Barron,Wisconsin,42106,"45,676",00 -0000- 0-0,10 -4405- 0-4,http://barroncountywi.gov/,Barron,1859,890,51
Bayfield,Wisconsin,35362,"15,156",00- 00-0-0 -00- 0-0-0,10- 10-6-9 -04- 9-9-0,http://www.bayfieldcounty.org/,Washburn,1845,"2,042",7
Brown,Wisconsin,102538,"254,586",0 0000,1 1557,http://www.co.brown.wi.us/,Green Bay,1818,616,413
Buffalo,Wisconsin,23994,"13,357",00–00000–000,10–00539–000,http://www.buffalocounty.com/,Alma,1853,710,19
Burnett,Wisconsin,42174,"15,333",00-000-0-00-00-00,10-126-0-30-22-00,http://www.burnettcounty.com,Siren,1856,880,17
Calumet,Wisconsin,32764,"49,617",000-0000-00000-00-000-0-000000-00-00-0B,100-0000-00000-00-000-0-191907-00-22-0B,http://www.co.calumet.wi.us/,Chilton,1836,397,125
Chippewa,Wisconsin,51039,"63,132",00000-0000-000000000,10002-2809-263272301,http://www.co.chippewa.wi.us,Chippewa Falls,1845,"1,041",61
Clark,Wisconsin,35697,"34,615",000.0000.00,100.0201.76,http://www.co.clark.wi.us/ClarkCounty/,Neillsville,1853,"1,219",28
Columbia,Wisconsin,43294,"56,653",000-0-00,101-2-95,http://www.co.columbia.wi.us/,Portage,1846,796,56743
Crawford,Wisconsin,23620,"16,397",000-000-0000-0000,102-126-0044-0000,http://www.wisconline.com/counties/crawford/,Prairie Du Chien,1818,599,27
Dane,Wisconsin,301560,"509,939",000/-000-0- 0-0,106/-050-8- 2-7,http://www.co.dane.wi.us/,Madison,1836,"1,238",412
Dodge,Wisconsin,77577,"88,344",000-0000-0000-0,106-0119-0010-0,http://www.co.dodge.wi.us/,Juneau,1836,907,97
Door,Wisconsin,41085,"27,896",0 0- 0 – 0 0 0 0,1 1- 8 – 5 0 0 0,http://www.co.door.wi.gov,Sturgeon Bay,1851,"2,370",12
Douglas,Wisconsin,47562,"43,887",00- 00-0 000-00,10- 81-0 082-52,http://www.douglascountywi.org/,Superior,1854,"1,480",30
Dunn,Wisconsin,35563,"44,122","00000000000,000","10101505000,010",http://www.co.dunn.wi.us/,Menomonie,1854,864,51
Eau Claire,Wisconsin,49060,"101,438",00-0000,10-0001,http://www.co.eau-claire.wi.us,Eau Claire,1856,645,157
Florence,Wisconsin,11742,"4,520",000-000&0-00000,101-042&1-91947,http://www.florencecountywi.com/,Florence,1882,498,9
Fond du Lac,Wisconsin,62186,"101,798",000-00-00-00-BC-000-00,105-17-18-99-BC-170-00,http://www.fdlco.wi.gov/,Fond Du Lac,1836,766,133
Forest,Wisconsin,20778,"9,126",000-00000-0000,100-63715-0060,http://www.co.forest.wi.gov/,Crandon,1885,"1,046",9
Grant,Wisconsin,47810,"51,069",0-0-00-0,1-3-21-0,http://www.co.grant.wi.gov/,Lancaster,1836,"1,183",43
Green,Wisconsin,26913,"37,090",00000000000,10100010000,http://www.co.green.wi.gov,Monroe,1836,584,63
Green Lake,Wisconsin,19283,"18,959",000-000 –,114-029 –,http://www.co.green-lake.wi.us/,Green Lake,1858,380,50
Iowa,Wisconsin,30877,"23,749",0&0-000,1&5-008,http://www.iowacounty.org/,Dodgeville,1829,768,31
Iron,Wisconsin,17889,"5,886",000-0000-0000,100-0381-0004,http://www.co.iron.wi.gov/,Hurley,1893,919,6
Jackson,Wisconsin,26865,"20,644",000-.,101-.,http://www.co.jackson.wi.us,Black River Falls,1853,"1,000",21
Jefferson,Wisconsin,43866,"84,509",000-0000-0000-000,111-0613-0623-000,http://www.jeffersoncountywi.gov/,Jefferson,1836,583,145
Juneau,Wisconsin,31094,"26,547",00-00,10-09,http://www.co.juneau.wi.gov,Mauston,1856,804,33
Kenosha,Wisconsin,68722,"167,757",00-000-00-000-000,10-223-18-201-001,http://www.co.kenosha.wi.us,Kenosha,1850,754,222
Kewaunee,Wisconsin,16454,"20,505",00–00-0-00 0,10–22-02-00 3,http://www.kewauneeco.org/,Kewaunee,1852,"1,084",19
La Crosse,Wisconsin,59264,"116,713",0-000-0,1-575-0,http://www.co.la-crosse.wi.us/,La Crosse,1851,480,243
Lafayette,Wisconsin,22151,"16,766",000.0000.0000,101.0001.0000,http://www.co.lafayette.wi.gov/,Darlington,1846,635,26
Langlade,Wisconsin,42087,"19,575",00 -0000..0O,10 -0358..0O,http://www.co.langlade.wi.us,Antigo,1879,888,22
Lincoln,Wisconsin,32778,"28,684",00-.00000-0.0-00,10-.09350-8.0-05,http://www.co.lincoln.wi.us,Merrill,1874,907,32
Manitowoc,Wisconsin,49798,"80,654",000-000-000,100-001-010,http://www.manitowoc-county.com,Manitowoc,1836,"1,494",54
Marathon,Wisconsin,82346,"135,416",000-0000-000-0000,100-8270-300-2000,http://www.co.marathon.wi.us/,Wausau,1850,"1,576",86
Marinette,Wisconsin,60678,"41,610",000-000&0.000,101-930&1.019,http://www.marinettecounty.com/,Marinette,1879,"1,550",27
Marquette,Wisconsin,43456,"15,176",000-00000-0000,100-01511-0055,http://www.co.marquette.wi.us,Montello,1836,464,33
Menominee,Wisconsin,4711,"4,317",0000000A,1000181A,http://www.co.menominee.wi.us/,Keshena,1961,365,12
Milwaukee,Wisconsin,282353,"956,023",000-0000-000,100-0001-000,http://www.milwaukeecounty.org,Milwaukee,1835,"1,190",804
