0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Barbour,West Virginia,8649,"16,770",00-0-00000000,10-1-00010000,http://www.barbourcounty.wv.gov,Philippi,1843,343,49
Berkeley,West Virginia,53102,"108,706",No records found,No records found,http://www.berkeleycountycomm.org/,Martinsburg,1772,322,338
Boone,West Virginia,8384,"24,224",No records found,No records found,http://www.boonecountywv.org/,Madison,1847,503,48
Braxton,West Virginia,10182,"14,502",00-00-00-00000000,18-01-34-00060000,http://www.braxtoncounty.wv.gov/,Sutton,1836,516,28
Brooke,West Virginia,15658,"23,737",00-F00-00000000,05-F10-00140001,http://www.brookewv.org/,Wellsburg,1796,93,256
Cabell,West Virginia,49749,"97,133",00-0-00000000,10-1-00010000,http://www.cabellcounty.org,Huntington,1809,288,337
Calhoun,West Virginia,72734,"7,564",No records found,No records found,http://www.calhouncounty.wv.gov,Grantsville,1856,281,27
Clay,West Virginia,7189,"9,244",No records found,No records found,http://www.claycounty.wv.gov,Clay,1858,344,27
Doddridge,West Virginia,7931,"8,344",No records found,No records found,http://www.doddridgecounty.wv.gov/,West Union,1845,320,26
Fayette,West Virginia,38987,"45,599",00-00-00D-00000000,10-01-12D-00120000,http://www.fayettecounty.com,Fayetteville,1831,668,68
Gilmer,West Virginia,7635,"8,672",00-00-0-00000000.0000,11-01-9-99901000.8930,http://www.gilmercounty.wv.gov,Glenville,1845,340,26
Grant,West Virginia,39157,"11,759",00-00-000-00000000.0000,12-02-347-00110000.6001,http://www.grantcountywv.org/,Petersburg,1866,480,24
Greenbrier,West Virginia,30548,"35,644",00-0-00000000,10-1-00010000,http://www.greenbriercounty.net/,Lewisburg,1778,"1,025",35
Hampshire,West Virginia,21515,"23,445",00-0-00000000,10-1-00010000,http://hampshirewv.com/,Romney,1754,645,36
Hancock,West Virginia,21227,"30,291",00-00-0000-00000000,15-01-9999-06079646,http://www.hancockcountywv.org,New Cumberland,1848,88,344
Hardy,West Virginia,14724,"13,920",00-000-00000000,16-045-02130000,http://www.hardycounty.com/,Moorefield,1786,584,24
Harrison,West Virginia,54008,"68,972",00-0000-00000000,10-1801-00610000,http://www.harrisoncountywv.com,Clarksburg,1784,417,166
Jackson,West Virginia,25719,"29,178",No records found,No records found,http://www.jacksoncounty.wv.gov,Ripley,1831,472,62
Jefferson,West Virginia,33759,"55,073",00-0-00000000,10-1-00010000,http://www.jeffersoncountywv.org,Charles Town,1801,212,260
Kanawha,West Virginia,113800,"191,275",00-0-00000000,10-1-00010000,http://www.kanawha.us,Charleston,1789,911,210
Lewis,West Virginia,9658,"16,452",No records found,No records found,http://www.lewiscounty.wv.gov,Weston,1816,390,42
Lincoln,West Virginia,17158,"21,559",00-00-00000000,10-02-00370000,http://www.lincolncountywv.org/,Hamlin,1867,439,49
Logan,West Virginia,20660,"35,987",00-0000-000000,13-3099-510000,http://www.logancounty.wv.gov,Logan,1824,456,79
McDowell,West Virginia,7168,"20,876",00-0-00000000,10-1-00010000,http://www.mcdowellcounty.wv.gov,Welch,1858,535,39
Marion,West Virginia,39396,"56,868",00-00-00000000,10-16-00010000,http://www.marioncountywv.com,Fairmont,1842,312,183
Marshall,West Virginia,23689,"32,459",00-0-00000000,11-1-00010000,http://www.marshallcountywv.org/,Moundsville,1835,312,104
Mason,West Virginia,11252,"27,126",00-0-00000000,10-2-00010000,http://www.masoncounty.wv.gov,Point Pleasant,1804,445,61
Mercer,West Virginia,12223,"61,984",00-0-00000000,10-1-00010000,http://www.mercercounty.wv.gov,Princeton,1837,421,147
Mineral,West Virginia,19151,"27,704",00-0-00000000,10-1-00010000,http://www.mineralcountywv.com/,Keyser,1866,329,84
Mingo,West Virginia,24560,"25,900",00-0-00000000,10-1-00010000,http://mingocountywv.com/static/index.html,Williamson,1895,424,61
Monongalia,West Virginia,51130,"102,274",00-00-00000000,10-29-01280000,http://www.co.monongalia.wv.us/,Morgantown,1776,366,280
Monroe,West Virginia,10121,"13,483",No records found,No records found,http://www.monroecountywv.net/,Union,1779,474,28
Morgan,West Virginia,15067,"17,498",No records found,No records found,http://www.morgancountywv.gov/,Berkeley Springs,1820,230,76
Nicholas,West Virginia,17097,"25,965",00-00-00000000,18-10-02650002,http://www.nicholascountywv.org,Summersville,1818,654,40
Ohio,West Virginia,25981,"43,727",00-NOMP-00000000,10-NOMP-06008125,http://www.ohiocounty.wv.gov,Wheeling,1776,109,401
Pendleton,West Virginia,12769,"7,471",No records found,No records found,http://www.pendletoncommission.com/,Franklin,1788,698,11
Pleasants,West Virginia,6508,"7,577",No records found,No records found,n/a,Saint Marys,1851,135,56
Pocahontas,West Virginia,14339,"8,669",No records found,No records found,http://www.pocahontascounty.wv.gov,Marlinton,1821,942,9
Preston,West Virginia,32399,"33,859",00-0-00000000,10-1-00010000,http://www.prestoncountywv.org/,Kingwood,1818,651,52
Putnam,West Virginia,34791,"56,650",00-0000-00000000,10-1000-01370000,http://www.putnamcounty.org/government/,Winfield,1848,350,162
Raleigh,West Virginia,61833,"78,833",00-0-00000000,10-1-00010000,http://www.raleighcounty.com,Beckley,1850,609,129
Randolph,West Virginia,23389,"29,415",00-0-00000000,10-1-00010000,http://www.randolphcountycommissionwv.org/,Elkins,1787,"1,040",28
Ritchie,West Virginia,n/a,"10,073",00-0-00000000,10-1-00010000,http://www.ritchiecounty.wv.gov,Harrisville,1843,454,22
Roane,West Virginia,34765,"14,656",00-0-00000000,01-1-00010000,http://www.roanecounty.wv.gov,Spencer,1856,484,30
Summers,West Virginia,13724,"13,563",No records found,No records found,http://summerscountywv.org/,Hinton,1871,368,37
Taylor,West Virginia,13358,"16,973",No records found,No records found,http://www.taylorcounty.wv.gov/,Grafton,1844,176,97
Tucker,West Virginia,9407,"6,968",00-0-00000000,10-1-00010000,http://www.tuckercounty.wv.gov,Parsons,1856,421,17
Tyler,West Virginia,8589,"8,995",00-0-00000000.0000,10-1-00010000.3001,http://tylercountywv.com,Middlebourne,1814,261,35
Upshur,West Virginia,19727,"24,665",No records found,No records found,http://www.upshurcounty.org,Buckhannon,1851,355,70
Wayne,West Virginia,26488,"41,437",00-0-00000000,10-1-00010000,http://www.waynecountywv.org/,Wayne,1842,512,81
Webster,West Virginia,9867,"8,893",No records found,No records found,http://www.webstercounty.wv.gov/,Webster Springs,1860,556,16
Wetzel,West Virginia,15825,"16,204",00-0-00000000,10-1-00010000,http://www.wetzelcounty.wv.gov,New Martinsville,1846,361,45
Wirt,West Virginia,n/a,"5,901",00-0000-000000,13-5247-480000,http://www.wirtcounty.wv.gov,Elizabeth,1848,235,25
Wood,West Virginia,57960,"86,569",00-0-00000000,10-1-00020000,http://www.woodcountywv.com,Parkersburg,1798,377,230
Wyoming,West Virginia,21903,"23,019",00-0-00000000,10-1-00010000,http://www.wyomingcounty.com/,Pineville,1850,502,46
