0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Albany,Wyoming,17967,"37,422",No records found,No records found,http://www.co.albany.wy.us/,Laramie,1868,"4,309",9
Big Horn,Wyoming,7944,"11,994",00-00-000-00000,10-00-000-00003,http://www.bighorncountywy.gov,Basin,1896,"3,159",4
Campbell,Wyoming,20173,"48,176",0,1,http://www.ccgov.net,Gillette,1911,"4,807",10
Carbon,Wyoming,17535,"15,748",No records found,No records found,http://www.carbonwy.com/,Rawlins,1868,"7,964",2
Converse,Wyoming,13239,"14,313",No records found,No records found,http://www.conversecounty.org,Douglas,1888,"4,265",3
Crook,Wyoming,6023,"7,184",0000-00-0-00-000.00,1851-62-0-73-090.00,http://www.crookcounty.wy.gov/,Sundance,1875,"2,865",3
Fremont,Wyoming,24666,"40,998",No records found,No records found,http://fremontcountywy.org/,Lander,1884,"9,266",4
Goshen,Wyoming,9175,"13,612",No records found,No records found,http://goshencounty.org,Torrington,1911,"2,232",6
Hot Springs,Wyoming,7403,"4,847",00,10,http://www.hscounty.com,Thermopolis,1911,"2,006",2
Johnson,Wyoming,7547,"8,628",000000,100412,http://www.johnsoncountywyoming.org/,Buffalo,1875,"4,175",2
Laramie,Wyoming,42283,"95,809",0-0000-0000-0000-0,1-1001-0012-0005-0,http://www.laramiecounty.com,Cheyenne,1867,"2,688",36
Lincoln,Wyoming,29253,"18,364",0000-000-00-000.00,1231-191-02-021.00,http://www.lcwy.org,Kemmerer,1911,"4,095",4
Natrona,Wyoming,42794,"80,973",00-00-00-0-0-000000,10-80-03-3-0-130090,http://www.natrona.net,Casper,1888,"5,376",15
Niobrara,Wyoming,3781,"2,541",No records found,No records found,http://www.niobraracounty.org/,Lusk,1911,"2,628",1
Park,Wyoming,17187,"29,227",00000000000000,15500100102000,http://www.parkcounty.us/,Cody,1909,"6,967",4
Platte,Wyoming,8735,"8,765",No records found,No records found,n/a,Wheatland,1911,"2,111",4
Sheridan,Wyoming,7078,"29,824",No records found,No records found,http://www.sheridancounty.com/,Sheridan,1888,"2,527",12
Sublette,Wyoming,9308,"10,041",00-00-00000,11-00-00125,http://www.sublettewyo.com/,Pinedale,1921,"4,936",2
Sweetwater,Wyoming,26566,"45,237",No records found,No records found,http://www.sweet.wy.us/,Green River,1867,"10,491",4
Teton,Wyoming,15006,"22,268",No records found,No records found,http://www.tetonwyo.org/,Jackson,1921,"4,216",5
Uinta,Wyoming,15160,"21,066",R0000000,R0000001,http://www.uintacounty.com/,Evanston,1869,"2,088",10
Washakie,Wyoming,5131,"8,463",No records found,No records found,http://www.washakiecounty.net/,Worland,1911,"2,243",4
Weston,Wyoming,5664,"7,158",No records found,No records found,http://www.westongov.com/,Newcastle,1890,"2,400",3
